GEOID,variable,Chinese,Korean,Spanish,Tagalog,Vietnamese
06001403600,B16001_083,NA,0,NA,NA,NA
06001403600,B16001_089,NA,NA,NA,NA,0
06001403600,B16001_101,NA,NA,NA,0,NA
06001403701,B16001_005,NA,NA,26,NA,NA
06001403701,B16001_077,0,NA,NA,NA,NA
06001403701,B16001_083,NA,0,NA,NA,NA
06001403701,B16001_089,NA,NA,NA,NA,0
06001403701,B16001_101,NA,NA,NA,0,NA
06001403702,B16001_005,NA,NA,0,NA,NA
06001403702,B16001_077,0,NA,NA,NA,NA
06001403702,B16001_083,NA,0,NA,NA,NA
06001403702,B16001_089,NA,NA,NA,NA,0
06001403702,B16001_101,NA,NA,NA,0,NA
06001403800,B16001_005,NA,NA,8,NA,NA
06001403800,B16001_077,0,NA,NA,NA,NA
06001403800,B16001_083,NA,0,NA,NA,NA
06001403800,B16001_089,NA,NA,NA,NA,5
06001403800,B16001_101,NA,NA,NA,0,NA
06001403900,B16001_005,NA,NA,52,NA,NA
06001403900,B16001_077,0,NA,NA,NA,NA
06001403900,B16001_083,NA,0,NA,NA,NA
06001403900,B16001_089,NA,NA,NA,NA,30
06001403900,B16001_101,NA,NA,NA,0,NA
06001404000,B16001_005,NA,NA,122,NA,NA
06001404000,B16001_077,0,NA,NA,NA,NA
06001404000,B16001_083,NA,0,NA,NA,NA
06001404000,B16001_089,NA,NA,NA,NA,10
06001404000,B16001_101,NA,NA,NA,0,NA
06001404101,B16001_005,NA,NA,23,NA,NA
06001404101,B16001_077,0,NA,NA,NA,NA
06001404101,B16001_083,NA,7,NA,NA,NA
06001404101,B16001_089,NA,NA,NA,NA,0
06001404101,B16001_101,NA,NA,NA,0,NA
06001404102,B16001_005,NA,NA,18,NA,NA
06001404102,B16001_077,0,NA,NA,NA,NA
06001404102,B16001_083,NA,0,NA,NA,NA
06001404102,B16001_089,NA,NA,NA,NA,0
06001404102,B16001_101,NA,NA,NA,0,NA
06001404200,B16001_005,NA,NA,3,NA,NA
06001404200,B16001_077,0,NA,NA,NA,NA
06001404200,B16001_083,NA,0,NA,NA,NA
06001404200,B16001_089,NA,NA,NA,NA,0
06001404200,B16001_101,NA,NA,NA,0,NA
06001404300,B16001_005,NA,NA,26,NA,NA
06001404300,B16001_077,0,NA,NA,NA,NA
06001404300,B16001_083,NA,0,NA,NA,NA
06001404300,B16001_089,NA,NA,NA,NA,0
06001404300,B16001_101,NA,NA,NA,0,NA
06001404400,B16001_005,NA,NA,0,NA,NA
06001404400,B16001_077,0,NA,NA,NA,NA
06001404400,B16001_083,NA,0,NA,NA,NA
06001404400,B16001_089,NA,NA,NA,NA,0
06001404400,B16001_101,NA,NA,NA,0,NA
06001404501,B16001_005,NA,NA,10,NA,NA
06001404501,B16001_077,0,NA,NA,NA,NA
06001404501,B16001_083,NA,0,NA,NA,NA
06001404501,B16001_089,NA,NA,NA,NA,0
06001404501,B16001_101,NA,NA,NA,0,NA
06001404502,B16001_005,NA,NA,2,NA,NA
06001404502,B16001_077,0,NA,NA,NA,NA
06001404502,B16001_083,NA,0,NA,NA,NA
06001404502,B16001_089,NA,NA,NA,NA,0
06001404502,B16001_101,NA,NA,NA,0,NA
06001404600,B16001_005,NA,NA,13,NA,NA
06001404600,B16001_077,0,NA,NA,NA,NA
06001404600,B16001_083,NA,0,NA,NA,NA
06001404600,B16001_089,NA,NA,NA,NA,0
06001404600,B16001_101,NA,NA,NA,0,NA
06001404700,B16001_005,NA,NA,39,NA,NA
06001404700,B16001_077,0,NA,NA,NA,NA
06001404700,B16001_083,NA,0,NA,NA,NA
06001404700,B16001_089,NA,NA,NA,NA,5
06001404700,B16001_101,NA,NA,NA,0,NA
06001404800,B16001_005,NA,NA,22,NA,NA
06001404800,B16001_077,0,NA,NA,NA,NA
06001404800,B16001_083,NA,0,NA,NA,NA
06001404800,B16001_089,NA,NA,NA,NA,7
06001404800,B16001_101,NA,NA,NA,0,NA
06001404900,B16001_005,NA,NA,115,NA,NA
06001404900,B16001_077,0,NA,NA,NA,NA
06001404900,B16001_083,NA,0,NA,NA,NA
06001404900,B16001_089,NA,NA,NA,NA,0
06001404900,B16001_101,NA,NA,NA,0,NA
06001405000,B16001_005,NA,NA,9,NA,NA
06001405000,B16001_077,0,NA,NA,NA,NA
06001405000,B16001_083,NA,0,NA,NA,NA
06001405000,B16001_089,NA,NA,NA,NA,0
06001405000,B16001_101,NA,NA,NA,0,NA
06001405100,B16001_005,NA,NA,107,NA,NA
06001405100,B16001_077,0,NA,NA,NA,NA
06001405100,B16001_083,NA,21,NA,NA,NA
06001405100,B16001_089,NA,NA,NA,NA,0
06001405100,B16001_101,NA,NA,NA,0,NA
06001405200,B16001_005,NA,NA,11,NA,NA
06001405200,B16001_077,0,NA,NA,NA,NA
06001405200,B16001_083,NA,0,NA,NA,NA
06001405200,B16001_089,NA,NA,NA,NA,0
06001405200,B16001_101,NA,NA,NA,0,NA
06001405301,B16001_005,NA,NA,127,NA,NA
06001405301,B16001_077,0,NA,NA,NA,NA
06001405301,B16001_083,NA,0,NA,NA,NA
06001405301,B16001_089,NA,NA,NA,NA,27
06001405301,B16001_101,NA,NA,NA,0,NA
06001405302,B16001_005,NA,NA,168,NA,NA
06001405302,B16001_077,0,NA,NA,NA,NA
06001405302,B16001_083,NA,21,NA,NA,NA
06001405302,B16001_089,NA,NA,NA,NA,228
06001405302,B16001_101,NA,NA,NA,0,NA
06001405401,B16001_005,NA,NA,563,NA,NA
06001405401,B16001_077,45,NA,NA,NA,NA
06001405401,B16001_083,NA,0,NA,NA,NA
06001405401,B16001_089,NA,NA,NA,NA,161
06001405401,B16001_101,NA,NA,NA,0,NA
06001405402,B16001_005,NA,NA,208,NA,NA
06001405402,B16001_077,0,NA,NA,NA,NA
06001405402,B16001_083,NA,0,NA,NA,NA
06001405402,B16001_089,NA,NA,NA,NA,222
06001405402,B16001_101,NA,NA,NA,0,NA
06001405500,B16001_005,NA,NA,165,NA,NA
06001405500,B16001_077,0,NA,NA,NA,NA
06001405500,B16001_083,NA,8,NA,NA,NA
06001405500,B16001_089,NA,NA,NA,NA,250
06001405500,B16001_101,NA,NA,NA,0,NA
06001405600,B16001_005,NA,NA,65,NA,NA
06001405600,B16001_077,0,NA,NA,NA,NA
06001405600,B16001_083,NA,0,NA,NA,NA
06001405600,B16001_089,NA,NA,NA,NA,50
06001405600,B16001_101,NA,NA,NA,0,NA
06001405700,B16001_005,NA,NA,302,NA,NA
06001405700,B16001_077,49,NA,NA,NA,NA
06001405700,B16001_083,NA,0,NA,NA,NA
06001405700,B16001_089,NA,NA,NA,NA,78
06001405700,B16001_101,NA,NA,NA,0,NA
06001405800,B16001_005,NA,NA,285,NA,NA
06001405800,B16001_077,47,NA,NA,NA,NA
06001405800,B16001_083,NA,0,NA,NA,NA
06001405800,B16001_089,NA,NA,NA,NA,247
06001405800,B16001_101,NA,NA,NA,0,NA
06001405901,B16001_005,NA,NA,597,NA,NA
06001405901,B16001_077,66,NA,NA,NA,NA
06001405901,B16001_083,NA,32,NA,NA,NA
06001405901,B16001_089,NA,NA,NA,NA,271
06001405901,B16001_101,NA,NA,NA,0,NA
06001405902,B16001_005,NA,NA,419,NA,NA
06001405902,B16001_077,70,NA,NA,NA,NA
06001405902,B16001_083,NA,0,NA,NA,NA
06001405902,B16001_089,NA,NA,NA,NA,232
06001405902,B16001_101,NA,NA,NA,0,NA
06001406000,B16001_005,NA,NA,158,NA,NA
06001406000,B16001_077,0,NA,NA,NA,NA
06001406000,B16001_083,NA,76,NA,NA,NA
06001406000,B16001_089,NA,NA,NA,NA,197
06001406000,B16001_101,NA,NA,NA,0,NA
06001406100,B16001_005,NA,NA,1317,NA,NA
06001406100,B16001_077,0,NA,NA,NA,NA
06001406100,B16001_083,NA,0,NA,NA,NA
06001406100,B16001_089,NA,NA,NA,NA,250
06001406100,B16001_101,NA,NA,NA,0,NA
06001406201,B16001_005,NA,NA,637,NA,NA
06001406201,B16001_077,70,NA,NA,NA,NA
06001406201,B16001_083,NA,0,NA,NA,NA
06001406201,B16001_089,NA,NA,NA,NA,111
06001406201,B16001_101,NA,NA,NA,0,NA
06001406202,B16001_005,NA,NA,1536,NA,NA
06001406202,B16001_077,15,NA,NA,NA,NA
06001406202,B16001_083,NA,0,NA,NA,NA
06001406202,B16001_089,NA,NA,NA,NA,101
06001406202,B16001_101,NA,NA,NA,0,NA
06001406300,B16001_005,NA,NA,434,NA,NA
06001406300,B16001_077,0,NA,NA,NA,NA
06001406300,B16001_083,NA,0,NA,NA,NA
06001406300,B16001_089,NA,NA,NA,NA,126
06001406300,B16001_101,NA,NA,NA,0,NA
06001406400,B16001_005,NA,NA,161,NA,NA
06001406400,B16001_077,15,NA,NA,NA,NA
06001406400,B16001_083,NA,0,NA,NA,NA
06001406400,B16001_089,NA,NA,NA,NA,18
06001406400,B16001_101,NA,NA,NA,0,NA
06001406500,B16001_005,NA,NA,1234,NA,NA
06001406500,B16001_077,0,NA,NA,NA,NA
06001406500,B16001_083,NA,0,NA,NA,NA
06001406500,B16001_089,NA,NA,NA,NA,139
06001406500,B16001_101,NA,NA,NA,0,NA
06001406601,B16001_005,NA,NA,275,NA,NA
06001406601,B16001_077,0,NA,NA,NA,NA
06001406601,B16001_083,NA,0,NA,NA,NA
06001406601,B16001_089,NA,NA,NA,NA,92
06001406601,B16001_101,NA,NA,NA,0,NA
06001406602,B16001_005,NA,NA,399,NA,NA
06001406602,B16001_077,7,NA,NA,NA,NA
06001406602,B16001_083,NA,11,NA,NA,NA
06001406602,B16001_089,NA,NA,NA,NA,84
06001406602,B16001_101,NA,NA,NA,0,NA
06001406700,B16001_005,NA,NA,20,NA,NA
06001406700,B16001_077,0,NA,NA,NA,NA
06001406700,B16001_083,NA,8,NA,NA,NA
06001406700,B16001_089,NA,NA,NA,NA,39
06001406700,B16001_101,NA,NA,NA,0,NA
06001406800,B16001_005,NA,NA,110,NA,NA
06001406800,B16001_077,0,NA,NA,NA,NA
06001406800,B16001_083,NA,0,NA,NA,NA
06001406800,B16001_089,NA,NA,NA,NA,11
06001406800,B16001_101,NA,NA,NA,0,NA
06001406900,B16001_005,NA,NA,125,NA,NA
06001406900,B16001_077,0,NA,NA,NA,NA
06001406900,B16001_083,NA,0,NA,NA,NA
06001406900,B16001_089,NA,NA,NA,NA,46
06001406900,B16001_101,NA,NA,NA,0,NA
06001407000,B16001_005,NA,NA,840,NA,NA
06001407000,B16001_077,36,NA,NA,NA,NA
06001407000,B16001_083,NA,14,NA,NA,NA
06001407000,B16001_089,NA,NA,NA,NA,90
06001407000,B16001_101,NA,NA,NA,0,NA
06001407101,B16001_005,NA,NA,867,NA,NA
06001407101,B16001_077,0,NA,NA,NA,NA
06001407101,B16001_083,NA,0,NA,NA,NA
06001407101,B16001_089,NA,NA,NA,NA,83
06001407101,B16001_101,NA,NA,NA,0,NA
06001407102,B16001_005,NA,NA,1045,NA,NA
06001407102,B16001_077,13,NA,NA,NA,NA
06001407102,B16001_083,NA,0,NA,NA,NA
06001407102,B16001_089,NA,NA,NA,NA,88
06001407102,B16001_101,NA,NA,NA,0,NA
06001407200,B16001_005,NA,NA,2308,NA,NA
06001407200,B16001_077,0,NA,NA,NA,NA
06001407200,B16001_083,NA,0,NA,NA,NA
06001407200,B16001_089,NA,NA,NA,NA,138
06001407200,B16001_101,NA,NA,NA,0,NA
06001407300,B16001_005,NA,NA,648,NA,NA
06001407300,B16001_077,16,NA,NA,NA,NA
06001407300,B16001_083,NA,0,NA,NA,NA
06001407300,B16001_089,NA,NA,NA,NA,153
06001407300,B16001_101,NA,NA,NA,0,NA
06001407400,B16001_005,NA,NA,1671,NA,NA
06001407400,B16001_077,29,NA,NA,NA,NA
06001407400,B16001_083,NA,0,NA,NA,NA
06001407400,B16001_089,NA,NA,NA,NA,131
06001407400,B16001_101,NA,NA,NA,0,NA
06001407500,B16001_005,NA,NA,1030,NA,NA
06001407500,B16001_077,0,NA,NA,NA,NA
06001407500,B16001_083,NA,0,NA,NA,NA
06001407500,B16001_089,NA,NA,NA,NA,74
06001407500,B16001_101,NA,NA,NA,0,NA
06001407600,B16001_005,NA,NA,756,NA,NA
06001407600,B16001_077,0,NA,NA,NA,NA
06001407600,B16001_083,NA,0,NA,NA,NA
06001407600,B16001_089,NA,NA,NA,NA,0
06001407600,B16001_101,NA,NA,NA,0,NA
06001407700,B16001_005,NA,NA,76,NA,NA
06001407700,B16001_077,0,NA,NA,NA,NA
06001407700,B16001_083,NA,0,NA,NA,NA
06001407700,B16001_089,NA,NA,NA,NA,0
06001407700,B16001_101,NA,NA,NA,0,NA
06001407800,B16001_005,NA,NA,39,NA,NA
06001407800,B16001_077,0,NA,NA,NA,NA
06001407800,B16001_083,NA,0,NA,NA,NA
06001407800,B16001_089,NA,NA,NA,NA,0
06001407800,B16001_101,NA,NA,NA,0,NA
06001407900,B16001_005,NA,NA,130,NA,NA
06001407900,B16001_077,0,NA,NA,NA,NA
06001407900,B16001_083,NA,0,NA,NA,NA
06001407900,B16001_089,NA,NA,NA,NA,0
06001407900,B16001_101,NA,NA,NA,0,NA
06001408000,B16001_005,NA,NA,18,NA,NA
06001408000,B16001_077,0,NA,NA,NA,NA
06001408000,B16001_083,NA,0,NA,NA,NA
06001408000,B16001_089,NA,NA,NA,NA,8
06001408000,B16001_101,NA,NA,NA,0,NA
06001408100,B16001_005,NA,NA,32,NA,NA
06001408100,B16001_077,0,NA,NA,NA,NA
06001408100,B16001_083,NA,0,NA,NA,NA
06001408100,B16001_089,NA,NA,NA,NA,44
06001408100,B16001_101,NA,NA,NA,0,NA
06001408200,B16001_005,NA,NA,192,NA,NA
06001408200,B16001_077,0,NA,NA,NA,NA
06001408200,B16001_083,NA,4,NA,NA,NA
06001408200,B16001_089,NA,NA,NA,NA,32
06001408200,B16001_101,NA,NA,NA,0,NA
06001408300,B16001_005,NA,NA,145,NA,NA
06001408300,B16001_077,28,NA,NA,NA,NA
06001408300,B16001_083,NA,0,NA,NA,NA
06001408300,B16001_089,NA,NA,NA,NA,16
06001408300,B16001_101,NA,NA,NA,0,NA
06001408400,B16001_005,NA,NA,685,NA,NA
06001408400,B16001_077,0,NA,NA,NA,NA
06001408400,B16001_083,NA,0,NA,NA,NA
06001408400,B16001_089,NA,NA,NA,NA,0
06001408400,B16001_101,NA,NA,NA,0,NA
06001408500,B16001_005,NA,NA,1171,NA,NA
06001408500,B16001_077,0,NA,NA,NA,NA
06001408500,B16001_083,NA,0,NA,NA,NA
06001408500,B16001_089,NA,NA,NA,NA,22
06001408500,B16001_101,NA,NA,NA,0,NA
06001408600,B16001_005,NA,NA,1671,NA,NA
06001408600,B16001_077,64,NA,NA,NA,NA
06001408600,B16001_083,NA,0,NA,NA,NA
06001408600,B16001_089,NA,NA,NA,NA,6
06001408600,B16001_101,NA,NA,NA,0,NA
06001408700,B16001_005,NA,NA,1508,NA,NA
06001408700,B16001_077,0,NA,NA,NA,NA
06001408700,B16001_083,NA,0,NA,NA,NA
06001408700,B16001_089,NA,NA,NA,NA,0
06001408700,B16001_101,NA,NA,NA,0,NA
06001408800,B16001_005,NA,NA,1720,NA,NA
06001408800,B16001_077,28,NA,NA,NA,NA
06001408800,B16001_083,NA,0,NA,NA,NA
06001408800,B16001_089,NA,NA,NA,NA,68
06001408800,B16001_101,NA,NA,NA,0,NA
06001408900,B16001_005,NA,NA,754,NA,NA
06001408900,B16001_077,0,NA,NA,NA,NA
06001408900,B16001_083,NA,0,NA,NA,NA
06001408900,B16001_089,NA,NA,NA,NA,37
06001408900,B16001_101,NA,NA,NA,0,NA
06001409000,B16001_005,NA,NA,851,NA,NA
06001409000,B16001_077,0,NA,NA,NA,NA
06001409000,B16001_083,NA,5,NA,NA,NA
06001409000,B16001_089,NA,NA,NA,NA,30
06001409000,B16001_101,NA,NA,NA,0,NA
06001409100,B16001_005,NA,NA,390,NA,NA
06001409100,B16001_077,0,NA,NA,NA,NA
06001409100,B16001_083,NA,0,NA,NA,NA
06001409100,B16001_089,NA,NA,NA,NA,13
06001409100,B16001_101,NA,NA,NA,0,NA
06001409200,B16001_005,NA,NA,624,NA,NA
06001409200,B16001_077,0,NA,NA,NA,NA
06001409200,B16001_083,NA,0,NA,NA,NA
06001409200,B16001_089,NA,NA,NA,NA,0
06001409200,B16001_101,NA,NA,NA,0,NA
06001409300,B16001_005,NA,NA,1373,NA,NA
06001409300,B16001_077,6,NA,NA,NA,NA
06001409300,B16001_083,NA,0,NA,NA,NA
06001409300,B16001_089,NA,NA,NA,NA,0
06001409300,B16001_101,NA,NA,NA,0,NA
06001409400,B16001_005,NA,NA,1069,NA,NA
06001409400,B16001_077,0,NA,NA,NA,NA
06001409400,B16001_083,NA,0,NA,NA,NA
06001409400,B16001_089,NA,NA,NA,NA,15
06001409400,B16001_101,NA,NA,NA,0,NA
06001409500,B16001_005,NA,NA,1123,NA,NA
06001409500,B16001_077,0,NA,NA,NA,NA
06001409500,B16001_083,NA,0,NA,NA,NA
06001409500,B16001_089,NA,NA,NA,NA,0
06001409500,B16001_101,NA,NA,NA,0,NA
06001409600,B16001_005,NA,NA,1606,NA,NA
06001409600,B16001_077,0,NA,NA,NA,NA
06001409600,B16001_083,NA,0,NA,NA,NA
06001409600,B16001_089,NA,NA,NA,NA,87
06001409600,B16001_101,NA,NA,NA,0,NA
06001409700,B16001_005,NA,NA,1130,NA,NA
06001409700,B16001_077,0,NA,NA,NA,NA
06001409700,B16001_083,NA,0,NA,NA,NA
06001409700,B16001_089,NA,NA,NA,NA,14
06001409700,B16001_101,NA,NA,NA,0,NA
06001409800,B16001_005,NA,NA,178,NA,NA
06001409800,B16001_077,0,NA,NA,NA,NA
06001409800,B16001_083,NA,0,NA,NA,NA
06001409800,B16001_089,NA,NA,NA,NA,56
06001409800,B16001_101,NA,NA,NA,0,NA
06001409900,B16001_005,NA,NA,44,NA,NA
06001409900,B16001_077,0,NA,NA,NA,NA
06001409900,B16001_083,NA,0,NA,NA,NA
06001409900,B16001_089,NA,NA,NA,NA,0
06001409900,B16001_101,NA,NA,NA,0,NA
06001410000,B16001_005,NA,NA,11,NA,NA
06001410000,B16001_077,0,NA,NA,NA,NA
06001410000,B16001_083,NA,0,NA,NA,NA
06001410000,B16001_089,NA,NA,NA,NA,0
06001410000,B16001_101,NA,NA,NA,0,NA
06001410100,B16001_005,NA,NA,207,NA,NA
06001410100,B16001_077,0,NA,NA,NA,NA
06001410100,B16001_083,NA,0,NA,NA,NA
06001410100,B16001_089,NA,NA,NA,NA,0
06001410100,B16001_101,NA,NA,NA,0,NA
06001410200,B16001_005,NA,NA,584,NA,NA
06001410200,B16001_077,0,NA,NA,NA,NA
06001410200,B16001_083,NA,0,NA,NA,NA
06001410200,B16001_089,NA,NA,NA,NA,0
06001410200,B16001_101,NA,NA,NA,0,NA
06001410300,B16001_005,NA,NA,1120,NA,NA
06001410300,B16001_077,0,NA,NA,NA,NA
06001410300,B16001_083,NA,0,NA,NA,NA
06001410300,B16001_089,NA,NA,NA,NA,17
06001410300,B16001_101,NA,NA,NA,0,NA
06001410400,B16001_005,NA,NA,787,NA,NA
06001410400,B16001_077,10,NA,NA,NA,NA
06001410400,B16001_083,NA,0,NA,NA,NA
06001410400,B16001_089,NA,NA,NA,NA,9
06001410400,B16001_101,NA,NA,NA,0,NA
06001410500,B16001_005,NA,NA,7,NA,NA
06001410500,B16001_077,0,NA,NA,NA,NA
06001410500,B16001_083,NA,31,NA,NA,NA
06001410500,B16001_089,NA,NA,NA,NA,25
06001410500,B16001_101,NA,NA,NA,0,NA
06001420100,B16001_005,NA,NA,27,NA,NA
06001420100,B16001_077,0,NA,NA,NA,NA
06001420100,B16001_083,NA,0,NA,NA,NA
06001420100,B16001_089,NA,NA,NA,NA,3
06001420100,B16001_101,NA,NA,NA,0,NA
06001420200,B16001_005,NA,NA,18,NA,NA
