GEOID,variable,Chinese,Korean,Spanish,Tagalog,Vietnamese
06001400100,B16001_005,NA,NA,0,NA,NA
06001400100,B16001_077,0,NA,NA,NA,NA
06001400100,B16001_083,NA,0,NA,NA,NA
06001400100,B16001_089,NA,NA,NA,NA,0
06001400100,B16001_101,NA,NA,NA,0,NA
06001400200,B16001_005,NA,NA,32,NA,NA
06001400200,B16001_077,0,NA,NA,NA,NA
06001400200,B16001_083,NA,0,NA,NA,NA
06001400200,B16001_089,NA,NA,NA,NA,0
06001400200,B16001_101,NA,NA,NA,0,NA
06001400300,B16001_005,NA,NA,76,NA,NA
06001400300,B16001_077,0,NA,NA,NA,NA
06001400300,B16001_083,NA,0,NA,NA,NA
06001400300,B16001_089,NA,NA,NA,NA,0
06001400300,B16001_101,NA,NA,NA,0,NA
06001400400,B16001_005,NA,NA,7,NA,NA
06001400400,B16001_077,26,NA,NA,NA,NA
06001400400,B16001_083,NA,0,NA,NA,NA
06001400400,B16001_089,NA,NA,NA,NA,0
06001400400,B16001_101,NA,NA,NA,0,NA
06001400500,B16001_005,NA,NA,83,NA,NA
06001400500,B16001_077,0,NA,NA,NA,NA
06001400500,B16001_083,NA,0,NA,NA,NA
06001400500,B16001_089,NA,NA,NA,NA,0
06001400500,B16001_101,NA,NA,NA,0,NA
06001400600,B16001_005,NA,NA,20,NA,NA
06001400600,B16001_077,0,NA,NA,NA,NA
06001400600,B16001_083,NA,0,NA,NA,NA
06001400600,B16001_089,NA,NA,NA,NA,0
06001400600,B16001_101,NA,NA,NA,0,NA
06001400700,B16001_005,NA,NA,203,NA,NA
06001400700,B16001_077,0,NA,NA,NA,NA
06001400700,B16001_083,NA,0,NA,NA,NA
06001400700,B16001_089,NA,NA,NA,NA,0
06001400700,B16001_101,NA,NA,NA,0,NA
06001400800,B16001_005,NA,NA,111,NA,NA
06001400800,B16001_077,0,NA,NA,NA,NA
06001400800,B16001_083,NA,0,NA,NA,NA
06001400800,B16001_089,NA,NA,NA,NA,6
06001400800,B16001_101,NA,NA,NA,0,NA
06001400900,B16001_005,NA,NA,19,NA,NA
06001400900,B16001_077,0,NA,NA,NA,NA
06001400900,B16001_083,NA,0,NA,NA,NA
06001400900,B16001_089,NA,NA,NA,NA,0
06001400900,B16001_101,NA,NA,NA,0,NA
06001401000,B16001_005,NA,NA,326,NA,NA
06001401000,B16001_077,0,NA,NA,NA,NA
06001401000,B16001_083,NA,0,NA,NA,NA
06001401000,B16001_089,NA,NA,NA,NA,0
06001401000,B16001_101,NA,NA,NA,0,NA
06001401100,B16001_005,NA,NA,34,NA,NA
06001401100,B16001_077,0,NA,NA,NA,NA
06001401100,B16001_083,NA,0,NA,NA,NA
06001401100,B16001_089,NA,NA,NA,NA,0
06001401100,B16001_101,NA,NA,NA,0,NA
06001401200,B16001_005,NA,NA,38,NA,NA
06001401200,B16001_077,0,NA,NA,NA,NA
06001401200,B16001_083,NA,0,NA,NA,NA
06001401200,B16001_089,NA,NA,NA,NA,10
06001401200,B16001_101,NA,NA,NA,0,NA
06001401300,B16001_005,NA,NA,169,NA,NA
06001401300,B16001_077,0,NA,NA,NA,NA
06001401300,B16001_083,NA,0,NA,NA,NA
06001401300,B16001_089,NA,NA,NA,NA,5
06001401300,B16001_101,NA,NA,NA,0,NA
06001401400,B16001_005,NA,NA,346,NA,NA
06001401400,B16001_077,0,NA,NA,NA,NA
06001401400,B16001_083,NA,0,NA,NA,NA
06001401400,B16001_089,NA,NA,NA,NA,61
06001401400,B16001_101,NA,NA,NA,0,NA
06001401500,B16001_005,NA,NA,43,NA,NA
06001401500,B16001_077,7,NA,NA,NA,NA
06001401500,B16001_083,NA,0,NA,NA,NA
06001401500,B16001_089,NA,NA,NA,NA,36
06001401500,B16001_101,NA,NA,NA,0,NA
06001401600,B16001_005,NA,NA,105,NA,NA
06001401600,B16001_077,21,NA,NA,NA,NA
06001401600,B16001_083,NA,0,NA,NA,NA
06001401600,B16001_089,NA,NA,NA,NA,25
06001401600,B16001_101,NA,NA,NA,0,NA
06001401700,B16001_005,NA,NA,206,NA,NA
06001401700,B16001_077,0,NA,NA,NA,NA
06001401700,B16001_083,NA,0,NA,NA,NA
06001401700,B16001_089,NA,NA,NA,NA,18
06001401700,B16001_101,NA,NA,NA,0,NA
06001401800,B16001_005,NA,NA,102,NA,NA
06001401800,B16001_077,0,NA,NA,NA,NA
06001401800,B16001_083,NA,0,NA,NA,NA
06001401800,B16001_089,NA,NA,NA,NA,0
06001401800,B16001_101,NA,NA,NA,0,NA
06001402200,B16001_005,NA,NA,266,NA,NA
06001402200,B16001_077,0,NA,NA,NA,NA
06001402200,B16001_083,NA,0,NA,NA,NA
06001402200,B16001_089,NA,NA,NA,NA,73
06001402200,B16001_101,NA,NA,NA,0,NA
06001402400,B16001_005,NA,NA,172,NA,NA
06001402400,B16001_077,0,NA,NA,NA,NA
06001402400,B16001_083,NA,0,NA,NA,NA
06001402400,B16001_089,NA,NA,NA,NA,16
06001402400,B16001_101,NA,NA,NA,0,NA
06001402500,B16001_005,NA,NA,79,NA,NA
06001402500,B16001_077,0,NA,NA,NA,NA
06001402500,B16001_083,NA,0,NA,NA,NA
06001402500,B16001_089,NA,NA,NA,NA,24
06001402500,B16001_101,NA,NA,NA,0,NA
06001402600,B16001_005,NA,NA,0,NA,NA
06001402600,B16001_077,0,NA,NA,NA,NA
06001402600,B16001_083,NA,0,NA,NA,NA
06001402600,B16001_089,NA,NA,NA,NA,0
06001402600,B16001_101,NA,NA,NA,0,NA
06001402700,B16001_005,NA,NA,141,NA,NA
06001402700,B16001_077,0,NA,NA,NA,NA
06001402700,B16001_083,NA,0,NA,NA,NA
06001402700,B16001_089,NA,NA,NA,NA,0
06001402700,B16001_101,NA,NA,NA,0,NA
06001402800,B16001_005,NA,NA,0,NA,NA
06001402800,B16001_077,11,NA,NA,NA,NA
06001402800,B16001_083,NA,0,NA,NA,NA
06001402800,B16001_089,NA,NA,NA,NA,25
06001402800,B16001_101,NA,NA,NA,0,NA
06001402900,B16001_005,NA,NA,21,NA,NA
06001402900,B16001_077,0,NA,NA,NA,NA
06001402900,B16001_083,NA,0,NA,NA,NA
06001402900,B16001_089,NA,NA,NA,NA,9
06001402900,B16001_101,NA,NA,NA,0,NA
06001403000,B16001_005,NA,NA,7,NA,NA
06001403000,B16001_077,0,NA,NA,NA,NA
06001403000,B16001_083,NA,0,NA,NA,NA
06001403000,B16001_089,NA,NA,NA,NA,0
06001403000,B16001_101,NA,NA,NA,0,NA
06001403100,B16001_005,NA,NA,98,NA,NA
06001403100,B16001_077,0,NA,NA,NA,NA
06001403100,B16001_083,NA,0,NA,NA,NA
06001403100,B16001_089,NA,NA,NA,NA,35
06001403100,B16001_101,NA,NA,NA,0,NA
06001403300,B16001_005,NA,NA,64,NA,NA
06001403300,B16001_077,0,NA,NA,NA,NA
06001403300,B16001_083,NA,0,NA,NA,NA
06001403300,B16001_089,NA,NA,NA,NA,0
06001403300,B16001_101,NA,NA,NA,0,NA
06001403400,B16001_005,NA,NA,121,NA,NA
06001403400,B16001_077,0,NA,NA,NA,NA
06001403400,B16001_083,NA,0,NA,NA,NA
06001403400,B16001_089,NA,NA,NA,NA,0
06001403400,B16001_101,NA,NA,NA,0,NA
06001403501,B16001_005,NA,NA,0,NA,NA
06001403501,B16001_077,45,NA,NA,NA,NA
06001403501,B16001_083,NA,0,NA,NA,NA
06001403501,B16001_089,NA,NA,NA,NA,16
06001403501,B16001_101,NA,NA,NA,0,NA
06001403502,B16001_005,NA,NA,2,NA,NA
06001403502,B16001_077,0,NA,NA,NA,NA
06001403502,B16001_083,NA,0,NA,NA,NA
06001403502,B16001_089,NA,NA,NA,NA,0
06001403502,B16001_101,NA,NA,NA,0,NA
06001403600,B16001_005,NA,NA,85,NA,NA
06001403600,B16001_077,0,NA,NA,NA,NA
