GEOID,variable,Chinese,Korean,Spanish,Tagalog,Vietnamese
06001402700,C16001_005,NA,NA,156,NA,NA
06001402700,C16001_020,NA,0,NA,NA,NA
06001402700,C16001_023,91,NA,NA,NA,NA
06001402700,C16001_024,NA,NA,NA,NA,0
06001402700,C16001_029,NA,NA,NA,0,NA
06001402800,C16001_005,NA,NA,55,NA,NA
06001402800,C16001_020,NA,0,NA,NA,NA
06001402800,C16001_023,424,NA,NA,NA,NA
06001402800,C16001_024,NA,NA,NA,NA,28
06001402800,C16001_029,NA,NA,NA,8,NA
06001402900,C16001_005,NA,NA,29,NA,NA
06001402900,C16001_020,NA,24,NA,NA,NA
06001402900,C16001_023,207,NA,NA,NA,NA
06001402900,C16001_024,NA,NA,NA,NA,11
06001402900,C16001_029,NA,NA,NA,20,NA
06001403000,C16001_005,NA,NA,8,NA,NA
06001403000,C16001_020,NA,0,NA,NA,NA
06001403000,C16001_023,1847,NA,NA,NA,NA
06001403000,C16001_024,NA,NA,NA,NA,10
06001403000,C16001_029,NA,NA,NA,4,NA
06001403100,C16001_005,NA,NA,24,NA,NA
06001403100,C16001_020,NA,9,NA,NA,NA
06001403100,C16001_023,378,NA,NA,NA,NA
06001403100,C16001_024,NA,NA,NA,NA,45
06001403100,C16001_029,NA,NA,NA,12,NA
06001403300,C16001_005,NA,NA,125,NA,NA
06001403300,C16001_020,NA,0,NA,NA,NA
06001403300,C16001_023,1531,NA,NA,NA,NA
06001403300,C16001_024,NA,NA,NA,NA,16
06001403300,C16001_029,NA,NA,NA,0,NA
06001403400,C16001_005,NA,NA,51,NA,NA
06001403400,C16001_020,NA,0,NA,NA,NA
06001403400,C16001_023,282,NA,NA,NA,NA
06001403400,C16001_024,NA,NA,NA,NA,17
06001403400,C16001_029,NA,NA,NA,43,NA
06001403501,C16001_005,NA,NA,0,NA,NA
06001403501,C16001_020,NA,94,NA,NA,NA
06001403501,C16001_023,368,NA,NA,NA,NA
06001403501,C16001_024,NA,NA,NA,NA,34
06001403501,C16001_029,NA,NA,NA,5,NA
06001403502,C16001_005,NA,NA,2,NA,NA
06001403502,C16001_020,NA,0,NA,NA,NA
06001403502,C16001_023,70,NA,NA,NA,NA
06001403502,C16001_024,NA,NA,NA,NA,26
06001403502,C16001_029,NA,NA,NA,12,NA
06001403600,C16001_005,NA,NA,77,NA,NA
06001403600,C16001_020,NA,36,NA,NA,NA
06001403600,C16001_023,46,NA,NA,NA,NA
06001403600,C16001_024,NA,NA,NA,NA,18
06001403600,C16001_029,NA,NA,NA,3,NA
06001403701,C16001_005,NA,NA,24,NA,NA
06001403701,C16001_020,NA,0,NA,NA,NA
06001403701,C16001_023,38,NA,NA,NA,NA
06001403701,C16001_024,NA,NA,NA,NA,1
06001403701,C16001_029,NA,NA,NA,21,NA
06001403702,C16001_005,NA,NA,0,NA,NA
06001403702,C16001_020,NA,10,NA,NA,NA
06001403702,C16001_023,126,NA,NA,NA,NA
06001403702,C16001_024,NA,NA,NA,NA,0
06001403702,C16001_029,NA,NA,NA,0,NA
06001403800,C16001_005,NA,NA,8,NA,NA
06001403800,C16001_020,NA,6,NA,NA,NA
06001403800,C16001_023,83,NA,NA,NA,NA
06001403800,C16001_024,NA,NA,NA,NA,15
06001403800,C16001_029,NA,NA,NA,7,NA
06001403900,C16001_005,NA,NA,58,NA,NA
06001403900,C16001_020,NA,0,NA,NA,NA
06001403900,C16001_023,116,NA,NA,NA,NA
06001403900,C16001_024,NA,NA,NA,NA,56
06001403900,C16001_029,NA,NA,NA,0,NA
06001404000,C16001_005,NA,NA,135,NA,NA
06001404000,C16001_020,NA,0,NA,NA,NA
06001404000,C16001_023,0,NA,NA,NA,NA
06001404000,C16001_024,NA,NA,NA,NA,10
06001404000,C16001_029,NA,NA,NA,0,NA
06001404101,C16001_005,NA,NA,10,NA,NA
06001404101,C16001_020,NA,10,NA,NA,NA
06001404101,C16001_023,51,NA,NA,NA,NA
06001404101,C16001_024,NA,NA,NA,NA,0
06001404101,C16001_029,NA,NA,NA,0,NA
06001404102,C16001_005,NA,NA,22,NA,NA
06001404102,C16001_020,NA,36,NA,NA,NA
06001404102,C16001_023,62,NA,NA,NA,NA
06001404102,C16001_024,NA,NA,NA,NA,10
06001404102,C16001_029,NA,NA,NA,15,NA
06001404200,C16001_005,NA,NA,3,NA,NA
06001404200,C16001_020,NA,0,NA,NA,NA
06001404200,C16001_023,45,NA,NA,NA,NA
06001404200,C16001_024,NA,NA,NA,NA,35
06001404200,C16001_029,NA,NA,NA,7,NA
06001404300,C16001_005,NA,NA,37,NA,NA
06001404300,C16001_020,NA,14,NA,NA,NA
06001404300,C16001_023,15,NA,NA,NA,NA
06001404300,C16001_024,NA,NA,NA,NA,7
06001404300,C16001_029,NA,NA,NA,13,NA
06001404400,C16001_005,NA,NA,0,NA,NA
06001404400,C16001_020,NA,0,NA,NA,NA
06001404400,C16001_023,51,NA,NA,NA,NA
06001404400,C16001_024,NA,NA,NA,NA,0
06001404400,C16001_029,NA,NA,NA,19,NA
06001404501,C16001_005,NA,NA,27,NA,NA
06001404501,C16001_020,NA,0,NA,NA,NA
06001404501,C16001_023,33,NA,NA,NA,NA
06001404501,C16001_024,NA,NA,NA,NA,18
06001404501,C16001_029,NA,NA,NA,10,NA
06001404502,C16001_005,NA,NA,11,NA,NA
06001404502,C16001_020,NA,17,NA,NA,NA
06001404502,C16001_023,102,NA,NA,NA,NA
06001404502,C16001_024,NA,NA,NA,NA,45
06001404502,C16001_029,NA,NA,NA,2,NA
06001404600,C16001_005,NA,NA,11,NA,NA
06001404600,C16001_020,NA,22,NA,NA,NA
06001404600,C16001_023,55,NA,NA,NA,NA
06001404600,C16001_024,NA,NA,NA,NA,0
06001404600,C16001_029,NA,NA,NA,0,NA
06001404700,C16001_005,NA,NA,41,NA,NA
06001404700,C16001_020,NA,6,NA,NA,NA
06001404700,C16001_023,18,NA,NA,NA,NA
06001404700,C16001_024,NA,NA,NA,NA,8
06001404700,C16001_029,NA,NA,NA,0,NA
06001404800,C16001_005,NA,NA,18,NA,NA
06001404800,C16001_020,NA,0,NA,NA,NA
06001404800,C16001_023,275,NA,NA,NA,NA
06001404800,C16001_024,NA,NA,NA,NA,5
06001404800,C16001_029,NA,NA,NA,49,NA
06001404900,C16001_005,NA,NA,10,NA,NA
06001404900,C16001_020,NA,12,NA,NA,NA
06001404900,C16001_023,97,NA,NA,NA,NA
06001404900,C16001_024,NA,NA,NA,NA,0
06001404900,C16001_029,NA,NA,NA,0,NA
06001405000,C16001_005,NA,NA,0,NA,NA
06001405000,C16001_020,NA,0,NA,NA,NA
06001405000,C16001_023,153,NA,NA,NA,NA
06001405000,C16001_024,NA,NA,NA,NA,0
06001405000,C16001_029,NA,NA,NA,0,NA
06001405100,C16001_005,NA,NA,97,NA,NA
06001405100,C16001_020,NA,0,NA,NA,NA
06001405100,C16001_023,113,NA,NA,NA,NA
06001405100,C16001_024,NA,NA,NA,NA,0
06001405100,C16001_029,NA,NA,NA,0,NA
06001405200,C16001_005,NA,NA,142,NA,NA
06001405200,C16001_020,NA,0,NA,NA,NA
06001405200,C16001_023,572,NA,NA,NA,NA
