pricing_module,message_module,time_checked,algorithm_mode,facility_id,interval_starting,hour,minute,mday,wday
,OPEN TO ALL,2018-05-01T05:22:53Z,,CLW,1525152000,22,22,30,2
,OPEN TO ALL,2018-05-01T05:37:53Z,,FSE,1525152900,22,37,30,2
,OPEN TO ALL,2018-05-01T05:57:53Z,,FSE,1525154100,22,57,30,2
,OPEN TO ALL,2018-05-01T06:17:53Z,,FSE,1525155300,23,17,30,2
,OPEN TO ALL,2018-05-01T06:47:53Z,,FSE,1525157100,23,47,30,2
,OPEN TO ALL,2018-05-01T07:02:52Z,,CLW,1525158000,0,2,1,3
,OPEN TO ALL,2018-05-01T07:52:52Z,,CLW,1525161000,0,52,1,3
,OPEN TO ALL,2018-05-01T08:02:53Z,,CLW,1525161600,1,2,1,3
,OPEN TO ALL,2018-05-01T08:17:53Z,,FSE,1525162500,1,17,1,3
,OPEN TO ALL,2018-05-01T08:27:53Z,,CLW,1525163100,1,27,1,3
,OPEN TO ALL,2018-05-01T08:32:53Z,,FSE,1525163400,1,32,1,3
,OPEN TO ALL,2018-05-01T08:37:53Z,,CLW,1525163700,1,37,1,3
,OPEN TO ALL,2018-05-01T08:47:52Z,,CLW,1525164300,1,47,1,3
,OPEN TO ALL,2018-05-01T08:52:53Z,,CLW,1525164600,1,52,1,3
,OPEN TO ALL,2018-05-01T09:27:53Z,,CLW,1525166700,2,27,1,3
,OPEN TO ALL,2018-05-01T09:52:53Z,,FSE,1525168200,2,52,1,3
,OPEN TO ALL,2018-05-01T10:02:53Z,,FSE,1525168800,3,2,1,3
,OPEN TO ALL,2018-05-01T10:12:52Z,,CLW,1525169400,3,12,1,3
,OPEN TO ALL,2018-05-01T10:17:52Z,,CLW,1525169700,3,17,1,3
,OPEN TO ALL,2018-05-01T10:32:53Z,,CLW,1525170600,3,32,1,3
,OPEN TO ALL,2018-05-01T10:42:53Z,,FSE,1525171200,3,42,1,3
,OPEN TO ALL,2018-05-01T10:42:53Z,,CLW,1525171200,3,42,1,3
,OPEN TO ALL,2018-05-01T10:47:53Z,,CLW,1525171500,3,47,1,3
,OPEN TO ALL,2018-05-01T11:02:53Z,,FSE,1525172400,4,2,1,3
,OPEN TO ALL,2018-05-01T11:02:53Z,,CLW,1525172400,4,2,1,3
,OPEN TO ALL,2018-05-01T11:12:53Z,,CLW,1525173000,4,12,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:02:53Z,EL Speed,FSE,1525176000,5,2,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:07:53Z,EL Speed,CLW,1525176300,5,7,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:17:53Z,EL Speed,FSE,1525176900,5,17,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:27:53Z,EL Speed,FSE,1525177500,5,27,1,3
0.70,HOV 2+ NO TOLL,2018-05-01T12:37:53Z,EL Speed,CLW,1525178100,5,37,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:52:53Z,EL Speed,FSE,1525179000,5,52,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T13:12:52Z,EL Speed,FSE,1525180200,6,12,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T13:27:53Z,EL Speed,FSE,1525181100,6,27,1,3
1.60,HOV 2+ NO TOLL,2018-05-01T13:27:53Z,EL Speed,CLW,1525181100,6,27,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T13:32:53Z,EL Speed,FSE,1525181400,6,32,1,3
2.50,HOV 2+ NO TOLL,2018-05-01T13:37:53Z,EL Speed,CLW,1525181700,6,37,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T13:42:52Z,EL Speed,FSE,1525182000,6,42,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T13:57:53Z,EL Speed,FSE,1525182900,6,57,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T14:02:53Z,EL Speed,FSE,1525183200,7,2,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T14:17:54Z,EL Speed,FSE,1525184100,7,17,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T14:22:52Z,EL Speed,FSE,1525184400,7,22,1,3
5.40,HOV 2+ NO TOLL,2018-05-01T14:42:53Z,EL Speed,CLW,1525185600,7,42,1,3
6.60,HOV 2+ NO TOLL,2018-05-01T14:57:53Z,EL Speed,CLW,1525186500,7,57,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T15:02:53Z,EL Speed,FSE,1525186800,8,2,1,3
7.40,HOV 2+ NO TOLL,2018-05-01T15:17:53Z,EL Speed,CLW,1525187700,8,17,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T15:22:52Z,EL Speed,FSE,1525188000,8,22,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T15:42:53Z,EL Speed,FSE,1525189200,8,42,1,3
8.00,HOV 2+ NO TOLL,2018-05-01T15:57:52Z,EL Speed,CLW,1525190100,8,57,1,3
,OPEN TO ALL,2018-05-01T16:07:53Z,,FSE,1525190700,9,7,1,3
,OPEN TO ALL,2018-05-01T16:17:53Z,,FSE,1525191300,9,17,1,3
6.40,HOV 2+ NO TOLL,2018-05-01T16:22:52Z,EL Speed,CLW,1525191600,9,22,1,3
,OPEN TO ALL,2018-05-01T16:27:53Z,,FSE,1525191900,9,27,1,3
6.60,HOV 2+ NO TOLL,2018-05-01T16:32:53Z,EL Speed,CLW,1525192200,9,32,1,3
,OPEN TO ALL,2018-05-01T17:02:53Z,,FSE,1525194000,10,2,1,3
,OPEN TO ALL,2018-05-01T17:22:53Z,,CLW,1525195200,10,22,1,3
,OPEN TO ALL,2018-05-01T17:37:53Z,,CLW,1525196100,10,37,1,3
,OPEN TO ALL,2018-05-01T17:42:53Z,,CLW,1525196400,10,42,1,3
,OPEN TO ALL,2018-05-01T18:12:53Z,,CLW,1525198200,11,12,1,3
,OPEN TO ALL,2018-05-01T18:22:53Z,,CLW,1525198800,11,22,1,3
,OPEN TO ALL,2018-05-01T18:27:52Z,,CLW,1525199100,11,27,1,3
,OPEN TO ALL,2018-05-01T18:32:53Z,,FSE,1525199400,11,32,1,3
,OPEN TO ALL,2018-05-01T18:37:53Z,,CLW,1525199700,11,37,1,3
,OPEN TO ALL,2018-05-01T18:47:53Z,,FSE,1525200300,11,47,1,3
,OPEN TO ALL,2018-05-01T18:57:53Z,,FSE,1525200900,11,57,1,3
,OPEN TO ALL,2018-05-01T19:37:53Z,,FSE,1525203300,12,37,1,3
,OPEN TO ALL,2018-05-01T20:07:53Z,,CLW,1525205100,13,7,1,3
,OPEN TO ALL,2018-05-01T20:22:52Z,,CLW,1525206000,13,22,1,3
,OPEN TO ALL,2018-05-01T20:32:53Z,,FSE,1525206600,13,32,1,3
,OPEN TO ALL,2018-05-01T20:47:53Z,,FSE,1525207500,13,47,1,3
,OPEN TO ALL,2018-05-01T21:02:53Z,,FSE,1525208400,14,2,1,3
,OPEN TO ALL,2018-05-01T21:07:53Z,,CLW,1525208700,14,7,1,3
,OPEN TO ALL,2018-05-01T21:12:53Z,,CLW,1525209000,14,12,1,3
,OPEN TO ALL,2018-05-01T21:37:53Z,,CLW,1525210500,14,37,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T22:02:52Z,EL Speed,CLW,1525212000,15,2,1,3
3.90,HOV 2+ NO TOLL,2018-05-01T22:02:52Z,GP Speed,FSE,1525212000,15,2,1,3
3.90,HOV 2+ NO TOLL,2018-05-01T22:07:53Z,EL Speed,FSE,1525212300,15,7,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T22:17:53Z,EL Speed,CLW,1525212900,15,17,1,3
1.60,HOV 2+ NO TOLL,2018-05-01T22:42:52Z,EL Speed,FSE,1525214400,15,42,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T22:57:53Z,EL Speed,CLW,1525215300,15,57,1,3
5.50,HOV 2+ NO TOLL,2018-05-01T23:42:53Z,GP Speed,FSE,1525218000,16,42,1,3
5.80,HOV 2+ NO TOLL,2018-05-01T23:47:53Z,GP Speed,FSE,1525218300,16,47,1,3
5.80,HOV 2+ NO TOLL,2018-05-01T23:52:53Z,GP Speed,FSE,1525218600,16,52,1,3
6.10,HOV 2+ NO TOLL,2018-05-02T00:52:53Z,GP Speed,FSE,1525222200,17,52,1,3
6.90,HOV 2+ NO TOLL,2018-05-02T00:57:53Z,EL Speed,FSE,1525222500,17,57,1,3
1.00,HOV 2+ NO TOLL,2018-05-02T00:57:53Z,EL Speed,CLW,1525222500,17,57,1,3
6.90,HOV 2+ NO TOLL,2018-05-02T01:02:54Z,GP Speed,FSE,1525222800,18,2,1,3
3.90,HOV 2+ NO TOLL,2018-05-02T01:32:53Z,EL Speed,FSE,1525224600,18,32,1,3
,OPEN TO ALL,2018-05-02T02:02:53Z,,CLW,1525226400,19,2,1,3
,OPEN TO ALL,2018-05-02T02:12:53Z,,CLW,1525227000,19,12,1,3
,OPEN TO ALL,2018-05-02T02:47:53Z,,FSE,1525229100,19,47,1,3
1.00,HOV 2+ NO TOLL,2018-05-01T00:22:52Z,EL Speed,CLW,1525134000,17,22,30,2
3.20,HOV 2+ NO TOLL,2018-05-01T00:57:53Z,EL Speed,FSE,1525136100,17,57,30,2
1.00,HOV 2+ NO TOLL,2018-05-01T01:02:53Z,EL Speed,CLW,1525136400,18,2,30,2
3.30,HOV 2+ NO TOLL,2018-05-01T01:02:53Z,EL Speed,FSE,1525136400,18,2,30,2
3.00,HOV 2+ NO TOLL,2018-05-01T01:12:53Z,EL Speed,FSE,1525137000,18,12,30,2
3.00,HOV 2+ NO TOLL,2018-05-01T01:17:53Z,EL Speed,FSE,1525137300,18,17,30,2
1.00,HOV 2+ NO TOLL,2018-05-01T01:37:53Z,EL Speed,CLW,1525138500,18,37,30,2
2.80,HOV 2+ NO TOLL,2018-05-01T01:42:53Z,EL Speed,FSE,1525138800,18,42,30,2
2.80,HOV 2+ NO TOLL,2018-05-01T01:57:53Z,EL Speed,FSE,1525139700,18,57,30,2
,OPEN TO ALL,2018-05-01T02:07:53Z,,FSE,1525140300,19,7,30,2
,OPEN TO ALL,2018-05-01T02:17:53Z,,FSE,1525140900,19,17,30,2
,OPEN TO ALL,2018-05-01T02:22:52Z,,CLW,1525141200,19,22,30,2
,OPEN TO ALL,2018-05-01T02:32:53Z,,FSE,1525141800,19,32,30,2
,OPEN TO ALL,2018-05-01T02:32:53Z,,CLW,1525141800,19,32,30,2
,OPEN TO ALL,2018-05-01T02:37:53Z,,CLW,1525142100,19,37,30,2
,OPEN TO ALL,2018-05-01T02:52:53Z,,FSE,1525143000,19,52,30,2
,OPEN TO ALL,2018-05-01T03:07:53Z,,FSE,1525143900,20,7,30,2
,OPEN TO ALL,2018-05-01T03:12:53Z,,FSE,1525144200,20,12,30,2
,OPEN TO ALL,2018-05-01T03:17:53Z,,CLW,1525144500,20,17,30,2
,OPEN TO ALL,2018-05-01T04:12:53Z,,FSE,1525147800,21,12,30,2
,OPEN TO ALL,2018-05-01T04:17:52Z,,FSE,1525148100,21,17,30,2
,OPEN TO ALL,2018-05-01T04:22:53Z,,FSE,1525148400,21,22,30,2
,OPEN TO ALL,2018-05-01T05:32:52Z,,CLW,1525152600,22,32,30,2
,OPEN TO ALL,2018-05-01T05:52:53Z,,CLW,1525153800,22,52,30,2
,OPEN TO ALL,2018-05-01T05:57:53Z,,CLW,1525154100,22,57,30,2
,OPEN TO ALL,2018-05-01T06:02:53Z,,FSE,1525154400,23,2,30,2
,OPEN TO ALL,2018-05-01T06:12:52Z,,FSE,1525155000,23,12,30,2
,OPEN TO ALL,2018-05-01T06:22:52Z,,FSE,1525155600,23,22,30,2
,OPEN TO ALL,2018-05-01T06:52:53Z,,FSE,1525157400,23,52,30,2
,OPEN TO ALL,2018-05-01T06:57:53Z,,CLW,1525157700,23,57,30,2
,OPEN TO ALL,2018-05-01T07:07:52Z,,CLW,1525158300,0,7,1,3
,OPEN TO ALL,2018-05-01T07:07:52Z,,FSE,1525158300,0,7,1,3
,OPEN TO ALL,2018-05-01T07:12:53Z,,FSE,1525158600,0,12,1,3
,OPEN TO ALL,2018-05-01T07:17:53Z,,CLW,1525158900,0,17,1,3
,OPEN TO ALL,2018-05-01T07:22:53Z,,CLW,1525159200,0,22,1,3
,OPEN TO ALL,2018-05-01T07:22:53Z,,FSE,1525159200,0,22,1,3
,OPEN TO ALL,2018-05-01T07:27:53Z,,FSE,1525159500,0,27,1,3
,OPEN TO ALL,2018-05-01T07:27:53Z,,CLW,1525159500,0,27,1,3
,OPEN TO ALL,2018-05-01T07:37:53Z,,FSE,1525160100,0,37,1,3
,OPEN TO ALL,2018-05-01T07:37:53Z,,CLW,1525160100,0,37,1,3
,OPEN TO ALL,2018-05-01T07:47:52Z,,FSE,1525160700,0,47,1,3
,OPEN TO ALL,2018-05-01T08:07:53Z,,CLW,1525161900,1,7,1,3
,OPEN TO ALL,2018-05-01T08:07:53Z,,FSE,1525161900,1,7,1,3
,OPEN TO ALL,2018-05-01T08:17:53Z,,CLW,1525162500,1,17,1,3
,OPEN TO ALL,2018-05-01T08:22:53Z,,FSE,1525162800,1,22,1,3
,OPEN TO ALL,2018-05-01T08:57:53Z,,FSE,1525164900,1,57,1,3
,OPEN TO ALL,2018-05-01T08:57:53Z,,CLW,1525164900,1,57,1,3
,OPEN TO ALL,2018-05-01T09:02:53Z,,FSE,1525165200,2,2,1,3
,OPEN TO ALL,2018-05-01T09:27:53Z,,FSE,1525166700,2,27,1,3
,OPEN TO ALL,2018-05-01T09:47:53Z,,FSE,1525167900,2,47,1,3
,OPEN TO ALL,2018-05-01T10:02:53Z,,CLW,1525168800,3,2,1,3
,OPEN TO ALL,2018-05-01T10:32:53Z,,FSE,1525170600,3,32,1,3
,OPEN TO ALL,2018-05-01T10:37:53Z,,CLW,1525170900,3,37,1,3
,OPEN TO ALL,2018-05-01T11:12:53Z,,FSE,1525173000,4,12,1,3
,OPEN TO ALL,2018-05-01T11:27:53Z,,CLW,1525173900,4,27,1,3
,OPEN TO ALL,2018-05-01T11:37:53Z,,FSE,1525174500,4,37,1,3
,OPEN TO ALL,2018-05-01T11:42:53Z,,FSE,1525174800,4,42,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:22:52Z,EL Speed,CLW,1525177200,5,22,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:22:52Z,EL Speed,FSE,1525177200,5,22,1,3
0.30,HOV 2+ NO TOLL,2018-05-01T12:57:53Z,EL Speed,FSE,1525179300,5,57,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T13:22:52Z,EL Speed,FSE,1525180800,6,22,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T13:47:53Z,EL Speed,FSE,1525182300,6,47,1,3
3.30,HOV 2+ NO TOLL,2018-05-01T13:57:53Z,EL Speed,CLW,1525182900,6,57,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T14:57:53Z,EL Speed,FSE,1525186500,7,57,1,3
7.40,HOV 2+ NO TOLL,2018-05-01T15:22:52Z,EL Speed,CLW,1525188000,8,22,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T15:32:53Z,EL Speed,FSE,1525188600,8,32,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T15:37:53Z,EL Speed,FSE,1525188900,8,37,1,3
7.20,HOV 2+ NO TOLL,2018-05-01T15:47:53Z,EL Speed,CLW,1525189500,8,47,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T15:52:53Z,EL Speed,FSE,1525189800,8,52,1,3
,OPEN TO ALL,2018-05-01T16:02:53Z,,FSE,1525190400,9,2,1,3
7.50,HOV 2+ NO TOLL,2018-05-01T16:07:53Z,EL Speed,CLW,1525190700,9,7,1,3
,OPEN TO ALL,2018-05-01T17:07:53Z,,CLW,1525194300,10,7,1,3
,OPEN TO ALL,2018-05-01T17:17:53Z,,CLW,1525194900,10,17,1,3
,OPEN TO ALL,2018-05-01T17:27:53Z,,CLW,1525195500,10,27,1,3
,OPEN TO ALL,2018-05-01T17:52:53Z,,CLW,1525197000,10,52,1,3
,OPEN TO ALL,2018-05-01T17:57:53Z,,FSE,1525197300,10,57,1,3
,OPEN TO ALL,2018-05-01T18:22:53Z,,FSE,1525198800,11,22,1,3
,OPEN TO ALL,2018-05-01T18:47:53Z,,CLW,1525200300,11,47,1,3
,OPEN TO ALL,2018-05-01T18:52:53Z,,CLW,1525200600,11,52,1,3
,OPEN TO ALL,2018-05-01T18:52:53Z,,FSE,1525200600,11,52,1,3
,OPEN TO ALL,2018-05-01T18:57:53Z,,CLW,1525200900,11,57,1,3
,OPEN TO ALL,2018-05-01T19:07:53Z,,CLW,1525201500,12,7,1,3
,OPEN TO ALL,2018-05-01T19:07:53Z,,FSE,1525201500,12,7,1,3
,OPEN TO ALL,2018-05-01T19:47:53Z,,CLW,1525203900,12,47,1,3
,OPEN TO ALL,2018-05-01T20:02:53Z,,FSE,1525204800,13,2,1,3
,OPEN TO ALL,2018-05-01T20:02:53Z,,CLW,1525204800,13,2,1,3
,OPEN TO ALL,2018-05-01T20:07:53Z,,FSE,1525205100,13,7,1,3
,OPEN TO ALL,2018-05-01T20:12:52Z,,FSE,1525205400,13,12,1,3
,OPEN TO ALL,2018-05-01T20:12:52Z,,CLW,1525205400,13,12,1,3
,OPEN TO ALL,2018-05-01T20:27:53Z,,FSE,1525206300,13,27,1,3
,OPEN TO ALL,2018-05-01T21:32:53Z,,CLW,1525210200,14,32,1,3
,OPEN TO ALL,2018-05-01T21:57:53Z,,CLW,1525211700,14,57,1,3
2.90,HOV 2+ NO TOLL,2018-05-01T22:17:53Z,EL Speed,FSE,1525212900,15,17,1,3
0.50,HOV 2+ NO TOLL,2018-05-01T22:37:53Z,EL Speed,CLW,1525214100,15,37,1,3
1.60,HOV 2+ NO TOLL,2018-05-01T22:37:53Z,EL Speed,FSE,1525214100,15,37,1,3
1.30,HOV 2+ NO TOLL,2018-05-01T22:52:53Z,EL Speed,FSE,1525215000,15,52,1,3
1.20,HOV 2+ NO TOLL,2018-05-01T22:57:53Z,EL Speed,FSE,1525215300,15,57,1,3
1.80,HOV 2+ NO TOLL,2018-05-01T23:02:52Z,EL Speed,FSE,1525215600,16,2,1,3
0.70,HOV 2+ NO TOLL,2018-05-01T23:32:53Z,EL Speed,CLW,1525217400,16,32,1,3
0.70,HOV 2+ NO TOLL,2018-05-01T23:47:53Z,EL Speed,CLW,1525218300,16,47,1,3
5.80,HOV 2+ NO TOLL,2018-05-02T00:27:53Z,GP Speed,FSE,1525220700,17,27,1,3
5.30,HOV 2+ NO TOLL,2018-05-02T00:32:52Z,GP Speed,FSE,1525221000,17,32,1,3
6.60,HOV 2+ NO TOLL,2018-05-02T00:42:53Z,GP Speed,FSE,1525221600,17,42,1,3
1.00,HOV 2+ NO TOLL,2018-05-02T01:02:54Z,EL Speed,CLW,1525222800,18,2,1,3
1.00,HOV 2+ NO TOLL,2018-05-02T01:17:53Z,EL Speed,CLW,1525223700,18,17,1,3
1.00,HOV 2+ NO TOLL,2018-05-02T01:27:53Z,EL Speed,CLW,1525224300,18,27,1,3
2.90,HOV 2+ NO TOLL,2018-05-02T01:47:53Z,EL Speed,FSE,1525225500,18,47,1,3
,OPEN TO ALL,2018-05-02T02:02:53Z,,FSE,1525226400,19,2,1,3
,OPEN TO ALL,2018-05-02T02:22:53Z,,CLW,1525227600,19,22,1,3
,OPEN TO ALL,2018-05-02T02:22:53Z,,FSE,1525227600,19,22,1,3
,OPEN TO ALL,2018-05-02T02:27:53Z,,CLW,1525227900,19,27,1,3
,OPEN TO ALL,2018-05-02T02:32:52Z,,FSE,1525228200,19,32,1,3
,OPEN TO ALL,2018-05-02T02:52:52Z,,CLW,1525229400,19,52,1,3
,OPEN TO ALL,2018-05-02T02:57:52Z,,CLW,1525229700,19,57,1,3
,OPEN TO ALL,2018-05-02T02:57:52Z,,FSE,1525229700,19,57,1,3
,OPEN TO ALL,2018-05-02T03:47:52Z,,FSE,1525232700,20,47,1,3
,OPEN TO ALL,2018-05-02T04:52:53Z,,FSE,1525236600,21,52,1,3
,OPEN TO ALL,2018-05-02T05:12:52Z,,CLW,1525237800,22,12,1,3
,OPEN TO ALL,2018-05-02T05:32:53Z,,CLW,1525239000,22,32,1,3
,OPEN TO ALL,2018-05-02T05:57:52Z,,FSE,1525240500,22,57,1,3
,OPEN TO ALL,2018-05-02T06:12:53Z,,FSE,1525241400,23,12,1,3
,OPEN TO ALL,2018-05-02T06:17:52Z,,FSE,1525241400,23,17,1,3
,OPEN TO ALL,2018-05-02T06:17:52Z,,CLW,1525241400,23,17,1,3
,OPEN TO ALL,2018-05-02T06:47:53Z,,FSE,1525243500,23,47,1,3
,OPEN TO ALL,2018-05-02T07:02:53Z,,FSE,1525244400,0,2,2,4
,OPEN TO ALL,2018-05-02T07:02:53Z,,CLW,1525244400,0,2,2,4
,OPEN TO ALL,2018-05-02T07:07:53Z,,FSE,1525244700,0,7,2,4
,OPEN TO ALL,2018-05-02T07:47:53Z,,FSE,1525247100,0,47,2,4
,OPEN TO ALL,2018-05-02T08:02:53Z,,CLW,1525248000,1,2,2,4
,OPEN TO ALL,2018-05-02T08:12:53Z,,CLW,1525248600,1,12,2,4
,OPEN TO ALL,2018-05-02T08:37:52Z,,CLW,1525250100,1,37,2,4
,OPEN TO ALL,2018-05-02T08:47:53Z,,CLW,1525250700,1,47,2,4
,OPEN TO ALL,2018-05-02T08:52:52Z,,CLW,1525251000,1,52,2,4
,OPEN TO ALL,2018-05-02T08:57:53Z,,FSE,1525251300,1,57,2,4
,OPEN TO ALL,2018-05-02T09:17:53Z,,CLW,1525252500,2,17,2,4
,OPEN TO ALL,2018-05-02T09:22:52Z,,CLW,1525252800,2,22,2,4
,OPEN TO ALL,2018-05-02T09:32:53Z,,CLW,1525253400,2,32,2,4
,OPEN TO ALL,2018-05-02T10:07:53Z,,CLW,1525255500,3,7,2,4
,OPEN TO ALL,2018-05-02T10:12:53Z,,FSE,1525255800,3,12,2,4
,OPEN TO ALL,2018-05-02T10:17:52Z,,CLW,1525256100,3,17,2,4
,OPEN TO ALL,2018-05-02T10:22:53Z,,FSE,1525256400,3,22,2,4
,OPEN TO ALL,2018-05-02T10:27:53Z,,FSE,1525256700,3,27,2,4
,OPEN TO ALL,2018-05-02T10:42:52Z,,FSE,1525257600,3,42,2,4
,OPEN TO ALL,2018-05-02T10:57:52Z,,FSE,1525258500,3,57,2,4
,OPEN TO ALL,2018-05-02T10:57:52Z,,CLW,1525258500,3,57,2,4
,OPEN TO ALL,2018-05-02T11:47:53Z,,FSE,1525261500,4,47,2,4
1.50,HOV 2+ NO TOLL,2018-05-02T13:12:53Z,EL Speed,CLW,1525266600,6,12,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T13:17:53Z,EL Speed,FSE,1525266900,6,17,2,4
2.40,HOV 2+ NO TOLL,2018-05-02T13:42:53Z,EL Speed,CLW,1525268400,6,42,2,4
4.00,HOV 2+ NO TOLL,2018-05-02T14:17:52Z,EL Speed,CLW,1525270500,7,17,2,4
5.40,HOV 2+ NO TOLL,2018-05-02T14:37:53Z,EL Speed,CLW,1525271700,7,37,2,4
6.20,HOV 2+ NO TOLL,2018-05-02T14:47:53Z,EL Speed,CLW,1525272300,7,47,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T14:47:53Z,EL Speed,FSE,1525272300,7,47,2,4
6.60,HOV 2+ NO TOLL,2018-05-02T14:57:53Z,EL Speed,CLW,1525272900,7,57,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T15:02:53Z,EL Speed,FSE,1525273200,8,2,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T15:12:53Z,EL Speed,FSE,1525273800,8,12,2,4
6.80,HOV 2+ NO TOLL,2018-05-02T15:17:53Z,EL Speed,CLW,1525274100,8,17,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T15:42:53Z,EL Speed,FSE,1525275600,8,42,2,4
7.40,HOV 2+ NO TOLL,2018-05-02T15:47:52Z,EL Speed,CLW,1525275900,8,47,2,4
7.80,HOV 2+ NO TOLL,2018-05-02T16:02:53Z,EL Speed,CLW,1525276800,9,2,2,4
8.00,HOV 2+ NO TOLL,2018-05-02T16:17:53Z,EL Speed,CLW,1525277700,9,17,2,4
7.80,HOV 2+ NO TOLL,2018-05-02T16:37:53Z,EL Speed,CLW,1525278900,9,37,2,4
,OPEN TO ALL,2018-05-02T16:37:53Z,,FSE,1525278900,9,37,2,4
,OPEN TO ALL,2018-05-02T17:17:53Z,,FSE,1525281300,10,17,2,4
,OPEN TO ALL,2018-05-02T17:52:53Z,,CLW,1525283400,10,52,2,4
,OPEN TO ALL,2018-05-02T17:57:52Z,,CLW,1525283700,10,57,2,4
,OPEN TO ALL,2018-05-02T18:42:52Z,,FSE,1525286400,11,42,2,4
,OPEN TO ALL,2018-05-02T19:07:53Z,,CLW,1525287900,12,7,2,4
,OPEN TO ALL,2018-05-02T19:12:53Z,,CLW,1525288200,12,12,2,4
,OPEN TO ALL,2018-05-02T19:17:53Z,,FSE,1525288500,12,17,2,4
,OPEN TO ALL,2018-05-02T19:32:53Z,,CLW,1525289400,12,32,2,4
,OPEN TO ALL,2018-05-02T19:37:53Z,,FSE,1525289700,12,37,2,4
,OPEN TO ALL,2018-05-02T19:57:53Z,,CLW,1525290900,12,57,2,4
