pricing_module,message_module,time_checked,algorithm_mode,facility_id,interval_starting,hour,minute,mday,wday
1.00,HOV 2+ NO TOLL,2018-05-01T00:12:53Z,EL Speed,CLW,1525133400,17,12,30,2
2.90,HOV 2+ NO TOLL,2018-05-01T00:27:53Z,EL Speed,FSE,1525134300,17,27,30,2
1.00,HOV 2+ NO TOLL,2018-05-01T00:42:53Z,EL Speed,CLW,1525135200,17,42,30,2
3.70,HOV 2+ NO TOLL,2018-05-01T00:42:53Z,EL Speed,FSE,1525135200,17,42,30,2
1.00,HOV 2+ NO TOLL,2018-05-01T00:52:52Z,EL Speed,CLW,1525135800,17,52,30,2
3.70,HOV 2+ NO TOLL,2018-05-01T00:52:52Z,EL Speed,FSE,1525135800,17,52,30,2
1.00,HOV 2+ NO TOLL,2018-05-01T00:57:53Z,EL Speed,CLW,1525136100,17,57,30,2
,OPEN TO ALL,2018-05-01T02:02:53Z,,FSE,1525140000,19,2,30,2
,OPEN TO ALL,2018-05-01T02:17:53Z,,CLW,1525140900,19,17,30,2
,OPEN TO ALL,2018-05-01T02:27:53Z,,CLW,1525141500,19,27,30,2
,OPEN TO ALL,2018-05-01T02:52:53Z,,CLW,1525143000,19,52,30,2
,OPEN TO ALL,2018-05-01T03:12:53Z,,CLW,1525144200,20,12,30,2
,OPEN TO ALL,2018-05-01T03:17:53Z,,FSE,1525144500,20,17,30,2
,OPEN TO ALL,2018-05-01T03:32:53Z,,FSE,1525145400,20,32,30,2
,OPEN TO ALL,2018-05-01T03:42:52Z,,FSE,1525146000,20,42,30,2
,OPEN TO ALL,2018-05-01T03:57:53Z,,CLW,1525146900,20,57,30,2
,OPEN TO ALL,2018-05-01T04:02:53Z,,FSE,1525147200,21,2,30,2
,OPEN TO ALL,2018-05-01T04:12:53Z,,CLW,1525147800,21,12,30,2
,OPEN TO ALL,2018-05-01T04:27:52Z,,CLW,1525148700,21,27,30,2
,OPEN TO ALL,2018-05-01T04:32:53Z,,CLW,1525149000,21,32,30,2
,OPEN TO ALL,2018-05-01T04:42:53Z,,FSE,1525149600,21,42,30,2
,OPEN TO ALL,2018-05-01T04:57:53Z,,CLW,1525150500,21,57,30,2
,OPEN TO ALL,2018-05-01T04:57:53Z,,FSE,1525150500,21,57,30,2
,OPEN TO ALL,2018-05-01T05:02:53Z,,FSE,1525150800,22,2,30,2
,OPEN TO ALL,2018-05-01T05:07:53Z,,CLW,1525151100,22,7,30,2
