"","joinid","permyear","permdate","county","jurisdictn","apn","address","zip","projname","hcategory","verylow","low","moderate","abovemod","totalunit","infill","affrdunit","deedaffrd","asstaffrd","opnaffrd","tenure","rpa","rhna","rhnacyc","pda","pdaid","tpa","hoa","occertiss","occertyr","occertdt","mapped","notes"
"1","ALAM0002639","2016","Dec 07","6001","Alameda","072-0380-013-00","1301 BUENA VISTA AVE","94501","Del Monte","5+",17,14,0,0,31,0,31,31,31,0,"R",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0656"
"2","ALAM0002640","2016","Jun 02","6001","Alameda","073-0383-007-00","1809 SAINT CHARLES","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; MR15-0269; 2015;"
"3","ALAM0002641","2016","Oct 04","6001","Alameda",NULL,"2651 FIFTH ST #93-1","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"issued; CB16-0795"
"4","ALAM0002642","2016","Oct 04","6001","Alameda",NULL,"2653 FIFTH ST #93-2","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0796"
"5","ALAM0002643","2016","Oct 04","6001","Alameda",NULL,"2655 FIFTH ST #93-3","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0810"
"6","ALAM0002644","2016","Oct 04","6001","Alameda",NULL,"2657 FIFTH ST #93-4","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0811"
"7","ALAM0002645","2016","Oct 04","6001","Alameda",NULL,"2659 FIFTH ST #93-5","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0813"
"8","ALAM0002646","2016","Oct 04","6001","Alameda",NULL,"2661 FIFTH ST #93-6","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0814"
"9","ALAM0002647","2016","Oct 04","6001","Alameda",NULL,"2665 FIFTH ST #92-1","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0761"
"10","ALAM0002648","2016","Oct 04","6001","Alameda",NULL,"2667 FIFTH ST #92-2","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0780"
"11","ALAM0002649","2016","Oct 04","6001","Alameda",NULL,"2669 FIFTH ST #92-3","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Isued; CB16-0781"
"12","ALAM0002650","2016","Oct 04","6001","Alameda",NULL,"2671 FIFTH ST #92-4","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0785"
"13","ALAM0002651","2016","Oct 04","6001","Alameda",NULL,"2673 FIFTH ST #92-5","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0786"
"14","ALAM0002652","2016","Oct 04","6001","Alameda",NULL,"2675 FIFTH ST #92-6","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0787"
"15","ALAM0002653","2016","Jul 28","6001","Alameda",NULL,"2679 FIFTH ST #91-1","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0575"
"16","ALAM0002654","2016","Jul 28","6001","Alameda",NULL,"2681 FIFTH ST","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0576"
"17","ALAM0002655","2016","Jul 28","6001","Alameda",NULL,"2683 FIFTH ST #91-3","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0577"
"18","ALAM0002656","2016","Jul 28","6001","Alameda",NULL,"2685 FIFTH ST #91-4","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0578"
"19","ALAM0002657","2016","Jul 28","6001","Alameda",NULL,"2687 FIFTH ST #91-5","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0579"
"20","ALAM0002658","2016","Jul 28","6001","Alameda",NULL,"2689 FIFTH ST #91-6","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0580"
"21","ALAM0002659","2016","Jul 28","6001","Alameda",NULL,"2691 FIFTH ST #90-1","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0569"
"22","ALAM0002660","2016","Jul 28","6001","Alameda",NULL,"2693 FIFTH ST #90-2","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0570"
"23","ALAM0002661","2016","Jul 28","6001","Alameda",NULL,"2695 FIFTH ST #90-3","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0571"
"24","ALAM0002662","2016","Jul 28","6001","Alameda",NULL,"2697 FIFTH ST #90-4","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0572"
"25","ALAM0002663","2016","Jul 28","6001","Alameda",NULL,"2738 BETTE ST","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0550"
"26","ALAM0002664","2016","Jul 28","6001","Alameda",NULL,"2740 BETTE ST","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0541"
"27","ALAM0002665","2016","Apr 14","6001","Alameda",NULL,"2757 ASCHOW LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0244"
"28","ALAM0002666","2016","Apr 14","6001","Alameda",NULL,"2759 ASCHOW LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0243"
"29","ALAM0002667","2016","Apr 14","6001","Alameda",NULL,"2759 FIFTH ST","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0242"
"30","ALAM0002668","2016","Apr 14","6001","Alameda",NULL,"2761 FIFTH ST","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0241"
"31","ALAM0002669","2016","Apr 14","6001","Alameda","074-0905-043-00","2763 ASCHOW LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0239"
"32","ALAM0002670","2016","Apr 14","6001","Alameda","074-0905-043-00","2765 ASCHOW LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0238"
"33","ALAM0002671","2016","Apr 14","6001","Alameda","074-0905-043-00","2767 ASCHOW LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0237"
