"","joinid","permyear","permdate","county","jurisdictn","apn","address","zip","projname","hcategory","verylow","low","moderate","abovemod","totalunit","infill","affrdunit","deedaffrd","asstaffrd","opnaffrd","tenure","rpa","rhna","rhnacyc","pda","pdaid","tpa","hoa","occertiss","occertyr","occertdt","mapped","notes"
"34","ALAM0002672","2016","Jan 25","6001","Alameda","69-109-181-4","3349 FERNSIDE BLVD","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015- Issued; CB15-0125"
"35","ALAM0002673","2016","Jul 28","6001","Alameda",NULL,"405 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0543"
"36","ALAM0002674","2016","Jul 28","6001","Alameda",NULL,"406 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0551"
"37","ALAM0002675","2016","Feb 01","6001","Alameda","074-0905-043-00","406 MITCHELL AVE","94501","Alameda Landing","SF",0,0,1,0,1,0,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marked as Issued on 10/06/2015; Finaled; CB15-0908"
"38","ALAM0002676","2016","Feb 01","6001","Alameda","074-0905-043-00","408 MITCHELL AVE","94501","Alameda Landing","SF",0,0,1,0,1,0,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marked as Issued on 10/06/2015; finaled; CB15-0907"
"39","ALAM0002677","2016","Jul 28","6001","Alameda",NULL,"409 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0545"
"40","ALAM0002678","2016","Jul 28","6001","Alameda",NULL,"410 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0553"
"41","ALAM0002679","2016","Jan 04","6001","Alameda","074-0905-043-00","410 MITCHELL AVE","94501","Alameda Landing","SF",0,0,1,0,1,0,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marked as Issued 10/06/2015;  Finaled; CB15-0912"
"42","ALAM0002680","2016","Jul 28","6001","Alameda",NULL,"415 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0546"
"43","ALAM0002681","2016","Jul 28","6001","Alameda",NULL,"416 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0556"
"44","ALAM0002682","2016","Jul 28","6001","Alameda",NULL,"419 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0547"
"45","ALAM0002683","2016","Jul 28","6001","Alameda",NULL,"420 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0557"
"46","ALAM0002684","2016","Apr 14","6001","Alameda",NULL,"420 MOSELEY AVE","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0236"
"47","ALAM0002685","2016","Jul 28","6001","Alameda",NULL,"420 SINGLETON AVE","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0573"
"48","ALAM0002686","2016","Jul 28","6001","Alameda",NULL,"423 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0548"
"49","ALAM0002687","2016","Jul 28","6001","Alameda",NULL,"426 BOHOL CIRCLE LN","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0558"
"50","ALAM0002688","2016","Apr 14","6001","Alameda",NULL,"428 MOSLEY AVE","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0240"
"51","ALAM0002689","2016","Jul 28","6001","Alameda",NULL,"448 DILLER ST #6-6","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0610"
"52","ALAM0002690","2016","Jul 28","6001","Alameda",NULL,"450 DILLER ST #6-5","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0609"
"53","ALAM0002691","2016","Jul 28","6001","Alameda",NULL,"452 DILLER ST #6-4","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0608"
"54","ALAM0002692","2016","Jul 28","6001","Alameda",NULL,"456 DILLER ST #6-3","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0607"
"55","ALAM0002693","2016","Jul 28","6001","Alameda",NULL,"458 DILLER ST #6-2","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Issued; CB16-0605"
"56","ALAM0002694","2016","Feb 08","6001","Alameda",NULL,"478 DILLER ST #8-1","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0010"
"57","ALAM0002695","2016","Feb 08","6001","Alameda",NULL,"480 DILLER ST #8-2","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0011"
"58","ALAM0002696","2016","Feb 08","6001","Alameda",NULL,"482 DILLER ST #8-3","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0012"
"59","ALAM0002697","2016","Feb 08","6001","Alameda",NULL,"484 DILLER ST","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB14-0509;"
"60","ALAM0002698","2016","Dec 09","6001","Alameda",NULL,"485 DILLER ST","94501","Alameda Landing","SF",0,0,1,0,1,0,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"61","ALAM0002699","2016","Dec 30","6001","Alameda",NULL,"486 DILLER ST #8-4","94501","Alameda Landing","SF",0,0,1,0,1,0,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CB16-0013"
"62","ALAM0002700","2016","Feb 08","6001","Alameda",NULL,"488 DILLER ST #8-5","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0014"
"63","ALAM0002701","2016","Feb 08","6001","Alameda",NULL,"490 DILLER ST #9-1","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0016"
"64","ALAM0002702","2016","Feb 08","6001","Alameda",NULL,"492 DILLER ST #9-2","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0017"
"65","ALAM0002703","2016","Feb 08","6001","Alameda",NULL,"494 DILLER ST","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB14-0510;"
"66","ALAM0002704","2016","Feb 08","6001","Alameda",NULL,"496 DILLER ST #9-3","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0018"
"67","ALAM0002705","2016","Feb 08","6001","Alameda",NULL,"498 DILLER ST #9-4","94501",NULL,"SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Finaled; CB16-0019"
"68","ALAM0002706","2016","Jul 5","6001","Alameda Unincorporated","080C-0479-023-02","16385A E 14TH ST",NULL,"BRANAGH INC.","5+",39,0,0,0,39,0,39,39,39,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"69","ALAM0002707","2016","Feb 1","6001","Alameda Unincorporated","080C-0479-023-02","16385B E 14TH ST",NULL,"BRANAGH INC.","5+",17,0,0,0,17,0,17,17,17,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"70","ALAM0002708","2016","Feb 1","6001","Alameda Unincorporated","080C-0479-023-02","16385C E 14TH ST",NULL,"BRANAGH INC.","5+",7,0,0,0,7,0,7,7,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"71","ALAM0002709","2016","Feb 2","6001","Alameda Unincorporated","080C-0479-023-02","16385D E 14TH ST",NULL,"BRANAGH INC.","5+",22,0,0,0,22,0,22,22,22,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"72","ALAM0002710","2016","Mar 15","6001","Alameda Unincorporated","085 -1400-002-01","17906 CULL CANYON ROAD",NULL,"MCFARLAND MARTHA J","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"73","ALAM0002711","2016","Apr 7","6001","Alameda Unincorporated","085A-6412-082-00","19999 JENSEN RANCH RD",NULL,"ORBIT DEVELOPMENT","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"74","ALAM0002712","2016","May 17","6001","Alameda Unincorporated","085A-6412-082-00","20003 JENSEN RANCH RD",NULL,"ORBIT DEVELOPMENT","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"75","ALAM0002713","2016","Apr 7","6001","Alameda Unincorporated","085A-6412-082-00","20006 JENSEN RANCH RD",NULL,"ORBIT DEVELOPMENT","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"76","ALAM0002714","2016","Apr 6","6001","Alameda Unincorporated","084A-0109-009-02","20026 San Miguel Ave",NULL,"LANGON BUILDING & DEVELOPING","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"77","ALAM0002715","2016","Apr 7","6001","Alameda Unincorporated","084A-0109-009-02","20028 SAN MIGUEL AVE",NULL,"LANGON BUILDING & DEVELOPING","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"78","ALAM0002716","2016","Apr 8","6001","Alameda Unincorporated","084A-0109-009-02","20030 SAN MIGUEL AVE",NULL,"LANGON BUILDING & DEVELOPING","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"79","ALAM0002717","2016","Apr 9","6001","Alameda Unincorporated","084A-0109-009-02","20032 SAN MIGUEL AVE",NULL,"LANGON BUILDING & DEVELOPING","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"80","ALAM0002718","2016","Apr 10","6001","Alameda Unincorporated","084A-0109-009-02","20034 SAN MIGUEL AVE",NULL,"LANGON BUILDING & DEVELOPING","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"81","ALAM0002719","2016","Apr 11","6001","Alameda Unincorporated","084A-0109-009-02","20036 SAN MIGUEL AVE",NULL,"LANGON BUILDING & DEVELOPING","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"82","ALAM0002720","2016","Mar 30","6001","Alameda Unincorporated","415 -0110-075-00","2045 GROVE WAY",NULL,"KEVIN AND GENEVIEVE BUCHANAN","SF",0,1,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"83","ALAM0002721","2016","May 9","6001","Alameda Unincorporated","079 -0008-025-00","2079 Altamont Rd",NULL,"SANABRIA JOSE A & GEE CURTIS ETAL","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"84","ALAM0002722","2016","Oct 17","6001","Alameda Unincorporated","417 -0261-038-00","24551 KARINA CT",NULL,"LEDEZMA MONICA","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"85","ALAM0002723","2016","Jun 7","6001","Alameda Unincorporated","417 -0261-037-00","3280 JELINCIC DR",NULL,"CATAWBA GEN. CONT.","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"86","ALAM0002724","2016","Sep 14","6001","Alameda Unincorporated","096 -0345-024-00","3444 LITTLE VALLEY RD",NULL,"RYAN AND RACHEL JERGENSEN","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"87","ALAM0002725","2016","Jul 15","6001","Alameda Unincorporated","949 -0007-009-22","6723 Alisal St",NULL,"TOM & ALEJANDRA HALL","SF",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"88","ALAM0002726","2016","Jul 1","6001","Alameda Unincorporated","085 -3002-001-00","8205 CROW CANYON RD",NULL,"APODACA KATHERINE M TR","SU",1,0,0,0,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"89","ALAM0002727","2016","Mar 04","6001","Albany","067 -2852-025-00","721 Carmel","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"90","ALAM0002728","2016","Jun 17","6001","Albany","066 -2810-014-00","728 Cornell","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"91","ALAM0002729","2016","Apr 18","6001","Albany","065 -2415-003-00","1506 Francis","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"92","ALAM0002730","2016","Apr 18","6001","Albany","066 -2794-020-00","741 Jackson","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"93","ALAM0002731","2016","Oct 24","6001","Albany","066 -2812-007-00","720 Kains","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"94","ALAM0002732","2016","Jul 13","6001","Albany","065 -2649-052-00","907 Key Route","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"95","ALAM0002733","2016","May 12","6001","Albany","066 -2804-007-01","820 Masonic","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"96","ALAM0002734","2016","Jun 06","6001","Albany","065 -2639-012-00","916 Neilson","94706",NULL,"SU",0,0,0,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
