joinid,apn
ALAM0002942,NULL
ALAM0002943,NULL
ALAM0002944,NULL
ALAM0002945,NULL
ALAM0002946,NULL
ALAM0002947,NULL
ALAM0002948,NULL
ALAM0002949,NULL
ALAM0002950,NULL
ALAM0002951,NULL
ALAM0002952,NULL
ALAM0002953,NULL
ALAM0002954,NULL
ALAM0002955,NULL
ALAM0002956,NULL
ALAM0002957,NULL
ALAM0002958,NULL
ALAM0002959,NULL
ALAM0002960,NULL
ALAM0002961,NULL
ALAM0002962,NULL
ALAM0002963,NULL
ALAM0002964,NULL
ALAM0002965,NULL
ALAM0002966,NULL
ALAM0002967,NULL
ALAM0002968,NULL
ALAM0002969,NULL
ALAM0002970,NULL
ALAM0002971,NULL
ALAM0002972,NULL
ALAM0002973,NULL
ALAM0002974,NULL
ALAM0002975,NULL
ALAM0002976,NULL
ALAM0002977,NULL
ALAM0002978,NULL
ALAM0002979,NULL
ALAM0002980,NULL
ALAM0002981,NULL
ALAM0002982,NULL
ALAM0002983,NULL
ALAM0002984,NULL
ALAM0002985,NULL
ALAM0002986,NULL
ALAM0002987,NULL
ALAM0002988,NULL
ALAM0002989,NULL
ALAM0002990,NULL
ALAM0002991,NULL
ALAM0002992,NULL
ALAM0002993,NULL
ALAM0002994,NULL
ALAM0002995,NULL
ALAM0002996,NULL
ALAM0002997,NULL
ALAM0002998,NULL
ALAM0002999,NULL
ALAM0003000,NULL
ALAM0003001,NULL
ALAM0003002,NULL
ALAM0003003,NULL
ALAM0003004,NULL
ALAM0003005,NULL
ALAM0003006,NULL
ALAM0003007,NULL
ALAM0003008,NULL
ALAM0003009,NULL
ALAM0003010,NULL
ALAM0003011,NULL
ALAM0003012,NULL
ALAM0003013,NULL
ALAM0003014,NULL
ALAM0003015,NULL
ALAM0003016,NULL
ALAM0003017,NULL
ALAM0003018,NULL
ALAM0003019,NULL
ALAM0003020,NULL
ALAM0003021,NULL
ALAM0003022,NULL
ALAM0003023,NULL
ALAM0003024,NULL
ALAM0003025,NULL
ALAM0003026,NULL
ALAM0003027,NULL
ALAM0003028,NULL
ALAM0003029,NULL
ALAM0003030,NULL
ALAM0003031,NULL
ALAM0003032,NULL
ALAM0003033,NULL
ALAM0003034,NULL
ALAM0003035,NULL
ALAM0003036,NULL
ALAM0003037,NULL
ALAM0003038,NULL
ALAM0003039,NULL
ALAM0003040,NULL
ALAM0003041,NULL
ALAM0003042,NULL
ALAM0003043,NULL
ALAM0003044,NULL
ALAM0003045,NULL
ALAM0003046,NULL
ALAM0003047,NULL
ALAM0003048,NULL
ALAM0003049,NULL
ALAM0003050,NULL
ALAM0003051,NULL
ALAM0003052,NULL
ALAM0003053,NULL
ALAM0003054,NULL
ALAM0003055,NULL
ALAM0003056,NULL
ALAM0003057,NULL
ALAM0003058,NULL
ALAM0003059,NULL
ALAM0003060,NULL
ALAM0003061,NULL
ALAM0003062,NULL
ALAM0003063,NULL
ALAM0003064,NULL
ALAM0003065,NULL
ALAM0003066,NULL
ALAM0003067,NULL
ALAM0003068,NULL
ALAM0003069,NULL
ALAM0003070,NULL
ALAM0003071,NULL
ALAM0003072,NULL
ALAM0003073,NULL
ALAM0003074,NULL
ALAM0003075,NULL
ALAM0003076,NULL
ALAM0003077,NULL
ALAM0003078,NULL
ALAM0003079,NULL
ALAM0003080,NULL
ALAM0003081,NULL
ALAM0003082,NULL
ALAM0003083,NULL
ALAM0003084,NULL
ALAM0003085,NULL
ALAM0003086,NULL
ALAM0003087,NULL
ALAM0003088,NULL
ALAM0003089,NULL
ALAM0003090,NULL
ALAM0003091,NULL
ALAM0003092,NULL
ALAM0003093,NULL
ALAM0003094,NULL
ALAM0003095,NULL
ALAM0003096,NULL
ALAM0003097,NULL
ALAM0003098,NULL
ALAM0003099,NULL
ALAM0003100,NULL
ALAM0003101,NULL
ALAM0003102,NULL
ALAM0003103,NULL
ALAM0003104,NULL
ALAM0003105,NULL
ALAM0003106,NULL
ALAM0003107,NULL
ALAM0003108,NULL
ALAM0003109,NULL
ALAM0003110,NULL
ALAM0003111,NULL
ALAM0003112,NULL
ALAM0003113,NULL
ALAM0003114,NULL
ALAM0003115,NULL
ALAM0003116,NULL
ALAM0003117,NULL
ALAM0003118,NULL
ALAM0003119,NULL
ALAM0003120,NULL
ALAM0003121,NULL
ALAM0003122,NULL
ALAM0003123,NULL
ALAM0003124,NULL
ALAM0003125,NULL
ALAM0003126,NULL
ALAM0003127,NULL
ALAM0003128,NULL
ALAM0003129,NULL
ALAM0003130,NULL
ALAM0003131,NULL
ALAM0003132,NULL
ALAM0003133,NULL
ALAM0003134,NULL
ALAM0003135,NULL
ALAM0003136,NULL
ALAM0003137,NULL
ALAM0003138,NULL
ALAM0003139,NULL
ALAM0003140,NULL
ALAM0003141,NULL
ALAM0003142,NULL
ALAM0003143,NULL
ALAM0003144,NULL
ALAM0003145,NULL
ALAM0003146,NULL
ALAM0003147,NULL
ALAM0003148,NULL
ALAM0003149,NULL
ALAM0003150,NULL
ALAM0003151,NULL
ALAM0003152,NULL
ALAM0003153,NULL
ALAM0003154,NULL
ALAM0003155,NULL
ALAM0003156,NULL
ALAM0003157,NULL
ALAM0003158,NULL
ALAM0003159,NULL
ALAM0003160,NULL
ALAM0003161,NULL
ALAM0003162,NULL
ALAM0003163,NULL
ALAM0003164,NULL
ALAM0003165,NULL
ALAM0003166,NULL
ALAM0003167,NULL
ALAM0003168,NULL
ALAM0003169,NULL
ALAM0003170,NULL
ALAM0003171,NULL
ALAM0003172,NULL
ALAM0003173,NULL
ALAM0003174,NULL
ALAM0003175,NULL
ALAM0003176,NULL
ALAM0003177,NULL
ALAM0003178,NULL
ALAM0003179,NULL
ALAM0003180,NULL
ALAM0003181,NULL
ALAM0003182,NULL
ALAM0003183,NULL
ALAM0003184,NULL
ALAM0003185,NULL
ALAM0003186,NULL
ALAM0003187,NULL
ALAM0003188,NULL
ALAM0003189,NULL
ALAM0003190,NULL
ALAM0003191,NULL
ALAM0003192,NULL
ALAM0003193,NULL
ALAM0003194,NULL
ALAM0003195,NULL
ALAM0003196,NULL
ALAM0003197,NULL
ALAM0003198,NULL
ALAM0003199,NULL
ALAM0003200,NULL
ALAM0003201,NULL
ALAM0003202,NULL
ALAM0003203,NULL
ALAM0003204,NULL
ALAM0003205,NULL
ALAM0003206,NULL
ALAM0003207,NULL
ALAM0003208,NULL
ALAM0003209,NULL
ALAM0003210,NULL
ALAM0003211,NULL
ALAM0003212,NULL
ALAM0003213,NULL
ALAM0003214,NULL
ALAM0003215,NULL
ALAM0003216,NULL
ALAM0003217,NULL
ALAM0003218,NULL
ALAM0003219,NULL
ALAM0003220,NULL
ALAM0003221,NULL
ALAM0003222,NULL
ALAM0003223,NULL
ALAM0003224,NULL
ALAM0003225,NULL
ALAM0003226,NULL
ALAM0003227,NULL
ALAM0003228,NULL
ALAM0003229,NULL
ALAM0003230,NULL
ALAM0003231,NULL
ALAM0003232,NULL
ALAM0003233,NULL
ALAM0003234,NULL
ALAM0003235,NULL
ALAM0003236,NULL
ALAM0003237,NULL
ALAM0003238,049-1174-019
ALAM0003239,NULL
ALAM0003240,NULL
ALAM0003241,NULL
ALAM0003242,NULL
ALAM0003243,NULL
ALAM0003244,NULL
ALAM0003245,NULL
ALAM0003246,NULL
ALAM0003247,NULL
ALAM0003248,NULL
ALAM0003249,NULL
ALAM0003250,NULL
ALAM0003251,NULL
ALAM0003252,NULL
ALAM0003253,NULL
ALAM0003254,NULL
ALAM0003255,NULL
ALAM0003256,NULL
ALAM0003257,NULL
ALAM0003258,NULL
ALAM0003259,NULL
ALAM0003260,NULL
ALAM0003261,NULL
ALAM0003262,NULL
ALAM0003263,NULL
ALAM0003264,NULL
ALAM0003265,NULL
ALAM0003266,NULL
ALAM0003267,NULL
ALAM0003268,NULL
ALAM0003269,NULL
ALAM0003270,NULL
ALAM0003271,NULL
ALAM0003272,NULL
ALAM0003273,NULL
ALAM0003274,NULL
ALAM0003275,NULL
ALAM0003276,NULL
ALAM0003277,NULL
ALAM0003278,NULL
ALAM0003279,NULL
ALAM0003280,NULL
ALAM0003281,NULL
ALAM0003282,NULL
ALAM0003283,NULL
ALAM0003284,NULL
ALAM0003285,NULL
ALAM0003286,NULL
ALAM0003287,NULL
ALAM0003288,NULL
ALAM0003289,NULL
ALAM0003290,NULL
ALAM0003291,NULL
ALAM0003292,NULL
ALAM0003293,NULL
ALAM0003294,NULL
ALAM0003295,NULL
ALAM0003296,NULL
ALAM0003297,NULL
ALAM0003298,NULL
ALAM0003299,NULL
ALAM0003300,NULL
ALAM0003301,NULL
ALAM0003302,NULL
ALAM0003303,NULL
ALAM0003304,NULL
ALAM0003305,NULL
ALAM0003306,NULL
ALAM0003307,NULL
ALAM0003308,NULL
ALAM0003309,NULL
ALAM0003310,NULL
ALAM0003311,NULL
ALAM0003312,NULL
ALAM0003313,NULL
ALAM0003314,NULL
ALAM0003315,NULL
ALAM0003316,NULL
ALAM0003317,NULL
ALAM0003318,NULL
ALAM0003319,NULL
ALAM0003320,NULL
ALAM0003321,NULL
ALAM0003322,NULL
ALAM0003323,NULL
ALAM0003324,NULL
ALAM0003325,NULL
ALAM0003326,NULL
ALAM0003327,NULL
ALAM0003328,NULL
ALAM0003329,NULL
ALAM0003330,NULL
ALAM0003331,NULL
ALAM0003332,NULL
ALAM0003333,NULL
ALAM0003334,NULL
ALAM0003335,NULL
ALAM0003336,NULL
ALAM0003337,NULL
ALAM0003338,NULL
ALAM0003339,NULL
ALAM0003340,NULL
ALAM0003341,NULL
ALAM0003342,NULL
ALAM0003343,NULL
ALAM0003344,NULL
ALAM0003345,NULL
ALAM0003346,NULL
ALAM0003347,NULL
ALAM0003348,NULL
ALAM0003349,NULL
ALAM0003350,NULL
ALAM0003351,NULL
ALAM0003352,NULL
ALAM0003353,NULL
ALAM0003354,NULL
ALAM0003355,NULL
ALAM0003356,NULL
ALAM0003357,NULL
ALAM0003358,NULL
ALAM0003359,NULL
ALAM0003360,NULL
ALAM0003361,NULL
ALAM0003362,NULL
ALAM0003363,NULL
ALAM0003364,NULL
ALAM0003365,NULL
ALAM0003366,NULL
ALAM0003367,NULL
ALAM0003368,NULL
ALAM0003369,NULL
ALAM0003370,NULL
ALAM0003371,NULL
ALAM0003372,NULL
ALAM0003373,NULL
ALAM0003374,NULL
ALAM0003375,NULL
ALAM0003376,NULL
ALAM0003377,NULL
ALAM0003378,NULL
ALAM0003379,NULL
ALAM0003380,NULL
ALAM0003381,NULL
ALAM0003382,NULL
ALAM0003383,NULL
ALAM0003384,NULL
ALAM0003385,NULL
ALAM0003386,NULL
ALAM0003387,NULL
ALAM0003388,NULL
ALAM0003389,NULL
ALAM0003390,NULL
ALAM0003391,NULL
ALAM0003392,NULL
ALAM0003393,NULL
ALAM0003394,NULL
ALAM0003395,NULL
ALAM0003396,NULL
ALAM0003397,NULL
ALAM0003398,NULL
ALAM0003399,NULL
ALAM0003400,NULL
ALAM0003401,NULL
ALAM0003402,NULL
ALAM0003403,NULL
ALAM0003404,NULL
ALAM0003405,NULL
ALAM0003406,NULL
ALAM0003407,NULL
ALAM0003408,NULL
ALAM0003409,NULL
ALAM0003410,NULL
ALAM0003411,NULL
ALAM0003412,NULL
ALAM0003413,NULL
ALAM0003414,NULL
ALAM0003415,NULL
ALAM0003416,NULL
ALAM0003417,NULL
ALAM0003418,NULL
ALAM0003419,NULL
ALAM0003420,NULL
ALAM0003421,NULL
ALAM0003422,NULL
ALAM0003423,NULL
ALAM0003424,NULL
ALAM0003425,NULL
ALAM0003426,NULL
ALAM0003427,NULL
ALAM0003428,NULL
ALAM0003429,NULL
ALAM0003430,NULL
ALAM0003431,NULL
ALAM0003432,NULL
ALAM0003433,NULL
ALAM0003434,NULL
ALAM0003435,NULL
ALAM0003436,NULL
ALAM0003437,NULL
ALAM0003438,NULL
ALAM0003439,NULL
ALAM0003440,NULL
ALAM0003441,NULL
ALAM0003442,NULL
ALAM0003443,NULL
ALAM0003444,NULL
ALAM0003445,NULL
ALAM0003446,NULL
ALAM0003447,NULL
ALAM0003448,NULL
ALAM0003449,NULL
ALAM0003450,NULL
ALAM0003451,NULL
ALAM0003452,NULL
ALAM0003453,NULL
ALAM0003454,NULL
ALAM0003455,NULL
ALAM0003456,NULL
ALAM0003457,NULL
ALAM0003458,NULL
ALAM0003459,NULL
ALAM0003460,NULL
ALAM0003461,NULL
ALAM0003462,NULL
ALAM0003463,NULL
ALAM0003464,NULL
ALAM0003465,NULL
ALAM0003466,NULL
ALAM0003467,NULL
ALAM0003468,NULL
ALAM0003469,NULL
ALAM0003470,NULL
ALAM0003471,NULL
ALAM0003472,NULL
ALAM0003473,NULL
ALAM0003474,NULL
ALAM0003475,NULL
ALAM0003476,NULL
ALAM0003477,NULL
ALAM0003478,NULL
ALAM0003479,NULL
ALAM0003480,NULL
ALAM0003481,NULL
ALAM0003482,NULL
ALAM0003483,NULL
ALAM0003484,NULL
ALAM0003485,NULL
ALAM0003486,NULL
ALAM0003487,NULL
ALAM0003488,NULL
ALAM0003489,NULL
ALAM0003490,NULL
ALAM0003491,NULL
ALAM0003492,NULL
ALAM0003493,NULL
ALAM0003494,NULL
ALAM0003495,NULL
ALAM0003496,NULL
ALAM0003497,NULL
ALAM0003498,NULL
ALAM0003499,NULL
ALAM0003500,NULL
ALAM0003501,NULL
ALAM0003502,NULL
ALAM0003503,NULL
ALAM0003504,NULL
ALAM0003505,NULL
ALAM0003506,NULL
ALAM0003507,NULL
ALAM0003508,NULL
ALAM0003509,NULL
ALAM0003510,NULL
ALAM0003511,NULL
ALAM0003512,NULL
ALAM0003513,NULL
ALAM0003514,NULL
ALAM0003515,NULL
ALAM0003516,NULL
ALAM0003517,NULL
ALAM0003518,NULL
ALAM0003519,NULL
ALAM0003520,NULL
ALAM0003521,NULL
ALAM0003522,NULL
ALAM0003523,NULL
ALAM0003524,NULL
ALAM0003525,NULL
ALAM0003526,NULL
ALAM0003527,NULL
ALAM0003528,NULL
ALAM0003529,NULL
ALAM0003530,NULL
ALAM0003531,NULL
ALAM0003532,NULL
ALAM0003533,NULL
ALAM0003534,NULL
ALAM0003535,NULL
ALAM0003536,NULL
ALAM0003537,NULL
ALAM0003538,NULL
ALAM0003539,NULL
ALAM0003540,NULL
ALAM0003541,NULL
ALAM0003542,NULL
ALAM0003543,NULL
ALAM0003544,NULL
ALAM0003545,NULL
ALAM0003546,NULL
ALAM0003547,NULL
ALAM0003548,NULL
ALAM0003549,NULL
ALAM0003550,NULL
ALAM0003551,NULL
ALAM0003552,NULL
ALAM0003553,NULL
ALAM0003554,NULL
ALAM0003555,NULL
ALAM0003556,NULL
ALAM0003557,NULL
ALAM0003558,NULL
ALAM0003559,NULL
ALAM0003560,NULL
ALAM0003561,NULL
ALAM0003562,NULL
ALAM0003563,NULL
ALAM0003564,NULL
ALAM0003565,NULL
ALAM0003566,NULL
ALAM0003567,NULL
ALAM0003568,NULL
ALAM0003569,NULL
ALAM0003570,NULL
ALAM0003571,NULL
ALAM0003572,NULL
ALAM0003573,NULL
ALAM0003574,NULL
ALAM0003575,NULL
ALAM0003576,NULL
ALAM0003577,NULL
ALAM0003578,NULL
ALAM0003579,NULL
ALAM0003580,NULL
ALAM0003581,NULL
ALAM0003582,NULL
ALAM0003583,NULL
ALAM0003584,NULL
ALAM0003585,NULL
ALAM0003586,NULL
ALAM0003587,NULL
ALAM0003588,NULL
ALAM0003589,NULL
ALAM0003590,NULL
ALAM0003591,NULL
ALAM0003592,NULL
ALAM0003593,NULL
ALAM0003594,NULL
ALAM0003595,NULL
ALAM0003596,NULL
ALAM0003597,NULL
ALAM0003598,NULL
ALAM0003599,NULL
ALAM0003600,NULL
ALAM0003601,NULL
ALAM0003602,NULL
ALAM0003603,NULL
ALAM0003604,NULL
ALAM0003605,NULL
ALAM0003606,NULL
ALAM0003607,NULL
ALAM0003608,NULL
ALAM0003609,NULL
ALAM0003610,NULL
ALAM0003611,NULL
ALAM0003612,NULL
ALAM0003613,NULL
ALAM0003614,NULL
ALAM0003615,NULL
ALAM0003616,NULL
ALAM0003617,NULL
ALAM0003618,NULL
ALAM0003619,NULL
ALAM0003620,NULL
ALAM0003621,NULL
ALAM0003622,NULL
ALAM0003623,NULL
ALAM0003624,NULL
ALAM0003625,NULL
ALAM0003626,NULL
ALAM0003627,NULL
ALAM0003628,NULL
ALAM0003629,NULL
ALAM0003630,NULL
ALAM0003631,NULL
ALAM0003632,NULL
ALAM0003633,NULL
ALAM0003634,NULL
ALAM0003635,NULL
ALAM0003636,NULL
ALAM0003637,NULL
ALAM0003638,NULL
ALAM0003639,NULL
ALAM0003640,NULL
ALAM0003641,NULL
ALAM0003642,NULL
ALAM0003643,NULL
ALAM0003644,NULL
ALAM0003645,NULL
ALAM0003646,NULL
ALAM0003647,NULL
ALAM0003648,NULL
ALAM0003649,NULL
ALAM0003650,NULL
ALAM0003651,NULL
ALAM0003652,NULL
ALAM0003653,NULL
ALAM0003654,NULL
ALAM0003655,NULL
ALAM0003656,NULL
ALAM0003657,NULL
ALAM0003658,NULL
ALAM0003659,NULL
ALAM0003660,NULL
ALAM0003661,NULL
ALAM0003662,NULL
ALAM0003663,NULL
ALAM0003664,NULL
ALAM0003665,NULL
ALAM0003666,NULL
ALAM0003667,NULL
ALAM0003668,NULL
ALAM0003669,NULL
ALAM0003670,NULL
ALAM0003671,NULL
ALAM0003672,NULL
ALAM0003673,NULL
ALAM0003674,NULL
ALAM0003675,NULL
ALAM0003676,NULL
ALAM0003677,NULL
ALAM0003678,NULL
ALAM0003679,NULL
ALAM0003680,NULL
ALAM0003681,NULL
ALAM0003682,NULL
ALAM0003683,NULL
ALAM0003684,NULL
ALAM0003685,NULL
ALAM0003686,NULL
ALAM0003687,NULL
ALAM0003688,NULL
ALAM0003689,NULL
ALAM0003690,NULL
ALAM0003691,NULL
ALAM0003692,NULL
ALAM0003693,NULL
ALAM0003694,NULL
ALAM0003695,NULL
ALAM0003696,NULL
ALAM0003697,NULL
ALAM0003698,NULL
ALAM0003699,NULL
ALAM0003700,NULL
ALAM0003701,NULL
ALAM0003702,NULL
ALAM0003703,NULL
ALAM0003704,NULL
ALAM0003705,NULL
ALAM0003706,NULL
ALAM0003707,NULL
ALAM0003708,NULL
ALAM0003709,NULL
ALAM0003710,NULL
ALAM0003711,NULL
ALAM0003712,NULL
ALAM0003713,NULL
ALAM0003714,NULL
ALAM0003715,NULL
ALAM0003716,NULL
ALAM0003717,NULL
ALAM0003718,NULL
ALAM0003719,NULL
ALAM0003720,NULL
ALAM0003721,NULL
ALAM0003722,NULL
ALAM0003723,NULL
ALAM0003724,NULL
ALAM0003725,NULL
ALAM0003726,NULL
ALAM0003727,NULL
ALAM0003728,NULL
ALAM0003729,NULL
ALAM0003730,NULL
ALAM0003731,NULL
ALAM0003732,NULL
ALAM0003733,NULL
ALAM0003734,NULL
ALAM0003735,NULL
ALAM0003736,NULL
ALAM0003739,098 041005600
ALAM0003744,099B813202600
ALAM0003745,099B813202700
ALAM0003746,099B813202800
ALAM0003747,099B813202900
ALAM0003748,099B813203000
ALAM0003749,099B813203100
ALAM0003750,099B813203200
ALAM0003751,099B813203300
ALAM0003752,099B813203400
ALAM0003753,099B813203500
ALAM0003754,099B813203600
ALAM0003755,099B813203700
ALAM0003756,099B813203800
ALAM0003757,099B813203900
ALAM0003758,099B813204000
ALAM0003759,099B813204100
ALAM0003760,099B813204200
ALAM0003761,099B813204300
ALAM0003762,099B813204400
ALAM0003763,099B813204500
ALAM0003764,099B813204600
ALAM0003765,099B813204700
ALAM0003766,099B813204800
ALAM0003767,099B813204900
ALAM0003768,099B813205100
ALAM0003769,099B813205200
ALAM0003770,099B813205300
ALAM0003771,099B813205400
ALAM0003772,099B813205500
ALAM0003773,099B813205600
ALAM0003774,099B813205700
ALAM0003775,099B813205900
ALAM0003776,099B813206000
ALAM0003777,099B813206100
ALAM0003778,099B813206200
ALAM0003779,099B813206300
ALAM0003780,099B813206400
ALAM0003781,099B813206500
ALAM0003782,099B813206600
ALAM0003783,099B813207000
ALAM0003784,099B813207100
ALAM0003785,099B813207200
ALAM0003786,099B813207300
ALAM0003787,099B813207400
ALAM0003788,099B813207500
ALAM0003789,099B813209200
ALAM0003790,099B813209300
ALAM0003791,099B813209400
ALAM0003792,099B813209500
ALAM0003793,099B813209600
ALAM0003794,099B813209700
ALAM0003795,099B813209800
ALAM0003796,099B813209900
ALAM0003797,099B8132010000
ALAM0003798,099B8132010100
ALAM0003799,099B8132010200
ALAM0003800,099B8132010300
ALAM0003801,099B8132010400
ALAM0003802,099B8132010500
ALAM0003803,099B8132010600
ALAM0003804,099B8132010700
ALAM0003805,099B8132010800
ALAM0003806,099B8132010900
ALAM0003807,099B8132011000
ALAM0003808,099B8132011100
ALAM0003809,099B8132011200
ALAM0003810,099B8132011300
ALAM0003811,099B813211400
ALAM0003812,099B813211500
ALAM0003813,099B813211600
ALAM0003814,099B813211700
ALAM0003815,099B813212100
ALAM0003816,099B813212200
ALAM0003817,099B813212300
ALAM0003818,NULL
ALAM0003819,NULL
ALAM0003820,NULL
ALAM0003821,NULL
ALAM0003822,NULL
ALAM0003826,unknown
ALAM0003833,099B813208800
ALAM0003834,099B813208900
ALAM0003835,099B813209000
ALAM0003836,099B813209100
ALAM0003845,903 001400900
ALAM0003846,903 001400900
ALAM0003847,903 001400900
ALAM0003848,903 001400900
ALAM0003849,903 001504000
ALAM0003865,NULL
ALAM0003866,NULL
ALAM0003867,NULL
ALAM0003868,NULL
ALAM0003869,NULL
ALAM0003870,NULL
ALAM0003871,NULL
ALAM0003872,NULL
ALAM0003873,NULL
ALAM0003874,NULL
ALAM0003875,NULL
ALAM0003876,NULL
ALAM0003877,NULL
ALAM0003878,NULL
ALAM0003879,NULL
ALAM0003880,NULL
ALAM0003881,NULL
ALAM0003882,NULL
ALAM0003883,NULL
ALAM0003884,NULL
ALAM0003885,NULL
ALAM0003886,NULL
ALAM0003887,NULL
ALAM0003888,NULL
