joinid,apn
ALAM0002639,072-0380-013-00
ALAM0002641,NULL
ALAM0002642,NULL
ALAM0002643,NULL
ALAM0002644,NULL
ALAM0002645,NULL
ALAM0002646,NULL
ALAM0002647,NULL
ALAM0002648,NULL
ALAM0002649,NULL
ALAM0002650,NULL
ALAM0002651,NULL
ALAM0002652,NULL
ALAM0002653,NULL
ALAM0002654,NULL
ALAM0002655,NULL
ALAM0002656,NULL
ALAM0002657,NULL
ALAM0002658,NULL
ALAM0002659,NULL
ALAM0002660,NULL
ALAM0002661,NULL
ALAM0002662,NULL
ALAM0002663,NULL
ALAM0002664,NULL
ALAM0002665,NULL
ALAM0002666,NULL
ALAM0002667,NULL
ALAM0002668,NULL
ALAM0002673,NULL
ALAM0002674,NULL
ALAM0002677,NULL
ALAM0002678,NULL
ALAM0002680,NULL
ALAM0002681,NULL
ALAM0002682,NULL
ALAM0002683,NULL
ALAM0002684,NULL
ALAM0002685,NULL
ALAM0002686,NULL
ALAM0002687,NULL
ALAM0002688,NULL
ALAM0002689,NULL
ALAM0002690,NULL
ALAM0002691,NULL
ALAM0002692,NULL
ALAM0002693,NULL
ALAM0002694,NULL
ALAM0002695,NULL
ALAM0002696,NULL
ALAM0002697,NULL
ALAM0002698,NULL
ALAM0002699,NULL
ALAM0002700,NULL
ALAM0002701,NULL
ALAM0002702,NULL
ALAM0002703,NULL
ALAM0002704,NULL
ALAM0002705,NULL
ALAM0002748,"054 170200900
"
ALAM0002755,"
055 182101500
"
ALAM0002763,"056 196100400
"
ALAM0002765,NULL
ALAM0002766,NULL
ALAM0002767,NULL
ALAM0002768,NULL
ALAM0002769,NULL
ALAM0002770,NULL
ALAM0002771,NULL
ALAM0002772,NULL
ALAM0002773,NULL
ALAM0002774,NULL
ALAM0002775,NULL
ALAM0002776,NULL
ALAM0002777,NULL
ALAM0002778,NULL
ALAM0002779,NULL
ALAM0002780,NULL
ALAM0002781,NULL
ALAM0002782,NULL
ALAM0002783,NULL
ALAM0002784,NULL
ALAM0002785,NULL
ALAM0002786,NULL
ALAM0002787,NULL
ALAM0002788,NULL
ALAM0002789,NULL
ALAM0002790,NULL
ALAM0002791,NULL
ALAM0002792,NULL
ALAM0002793,NULL
ALAM0002794,NULL
ALAM0002795,NULL
ALAM0002796,NULL
ALAM0002797,NULL
ALAM0002798,NULL
ALAM0002799,NULL
ALAM0002800,NULL
ALAM0002801,NULL
ALAM0002802,NULL
ALAM0002803,NULL
ALAM0002804,NULL
ALAM0002805,NULL
ALAM0002806,NULL
ALAM0002807,NULL
ALAM0002808,NULL
ALAM0002809,NULL
ALAM0002810,NULL
ALAM0002811,NULL
ALAM0002812,NULL
ALAM0002813,NULL
ALAM0002814,NULL
ALAM0002815,NULL
ALAM0002816,NULL
ALAM0002817,NULL
ALAM0002818,NULL
ALAM0002819,NULL
ALAM0002820,NULL
ALAM0002821,NULL
ALAM0002822,NULL
ALAM0002823,NULL
ALAM0002824,NULL
ALAM0002825,NULL
ALAM0002826,NULL
ALAM0002827,NULL
ALAM0002828,NULL
ALAM0002829,NULL
ALAM0002830,NULL
ALAM0002831,NULL
ALAM0002832,NULL
ALAM0002833,NULL
ALAM0002834,NULL
ALAM0002835,NULL
ALAM0002836,NULL
ALAM0002837,NULL
ALAM0002838,NULL
ALAM0002839,NULL
ALAM0002840,NULL
ALAM0002841,NULL
ALAM0002842,NULL
ALAM0002843,NULL
ALAM0002844,NULL
ALAM0002845,NULL
ALAM0002846,NULL
ALAM0002847,NULL
ALAM0002848,NULL
ALAM0002849,NULL
ALAM0002850,NULL
ALAM0002851,NULL
ALAM0002852,NULL
ALAM0002853,NULL
ALAM0002854,NULL
ALAM0002855,NULL
ALAM0002856,NULL
ALAM0002857,NULL
ALAM0002858,NULL
ALAM0002859,NULL
ALAM0002860,NULL
ALAM0002861,NULL
ALAM0002862,NULL
ALAM0002863,NULL
ALAM0002864,NULL
ALAM0002865,NULL
ALAM0002866,NULL
ALAM0002867,NULL
ALAM0002868,NULL
ALAM0002869,NULL
ALAM0002870,NULL
ALAM0002871,NULL
ALAM0002872,NULL
ALAM0002873,NULL
ALAM0002874,NULL
ALAM0002875,NULL
ALAM0002876,NULL
ALAM0002877,NULL
ALAM0002878,NULL
ALAM0002879,NULL
ALAM0002880,NULL
ALAM0002881,NULL
ALAM0002882,NULL
ALAM0002883,NULL
ALAM0002884,NULL
ALAM0002885,NULL
ALAM0002886,NULL
ALAM0002887,NULL
ALAM0002888,NULL
ALAM0002889,NULL
ALAM0002890,NULL
ALAM0002891,NULL
ALAM0002892,NULL
ALAM0002893,NULL
ALAM0002894,NULL
ALAM0002895,NULL
ALAM0002896,NULL
ALAM0002897,NULL
ALAM0002898,NULL
ALAM0002899,NULL
ALAM0002900,NULL
ALAM0002901,NULL
ALAM0002902,NULL
ALAM0002903,NULL
ALAM0002904,NULL
ALAM0002905,NULL
ALAM0002906,NULL
ALAM0002907,NULL
ALAM0002908,NULL
ALAM0002909,NULL
ALAM0002910,NULL
ALAM0002911,NULL
ALAM0002912,NULL
ALAM0002913,NULL
ALAM0002914,NULL
ALAM0002915,NULL
ALAM0002916,NULL
ALAM0002917,NULL
ALAM0002918,NULL
ALAM0002919,NULL
ALAM0002920,NULL
ALAM0002921,NULL
ALAM0002922,NULL
ALAM0002923,NULL
ALAM0002924,NULL
ALAM0002925,NULL
ALAM0002926,NULL
ALAM0002927,NULL
ALAM0002928,NULL
ALAM0002929,NULL
ALAM0002930,NULL
ALAM0002931,NULL
ALAM0002932,NULL
ALAM0002933,NULL
ALAM0002934,NULL
ALAM0002935,NULL
ALAM0002936,NULL
ALAM0002937,NULL
ALAM0002938,NULL
ALAM0002939,NULL
ALAM0002940,NULL
ALAM0002941,NULL
