GEOID,Asian,Black or African American,Hispanic or Latino,Other Racial / Ethnic Minority
06001400100,FALSE,FALSE,FALSE,TRUE
06001400200,FALSE,FALSE,FALSE,TRUE
06001400300,FALSE,TRUE,FALSE,TRUE
06001400400,FALSE,TRUE,FALSE,TRUE
06001400500,FALSE,TRUE,FALSE,TRUE
06001400600,FALSE,TRUE,FALSE,TRUE
06001400700,FALSE,TRUE,FALSE,TRUE
06001400800,FALSE,TRUE,FALSE,TRUE
06001400900,FALSE,TRUE,FALSE,TRUE
06001401000,FALSE,TRUE,FALSE,TRUE
06001401100,FALSE,TRUE,FALSE,TRUE
06001401200,FALSE,TRUE,FALSE,TRUE
06001401300,FALSE,TRUE,FALSE,TRUE
06001401400,FALSE,TRUE,TRUE,TRUE
06001401500,FALSE,TRUE,FALSE,TRUE
06001401600,FALSE,TRUE,FALSE,TRUE
06001401700,FALSE,TRUE,TRUE,TRUE
06001401800,FALSE,TRUE,FALSE,TRUE
06001402200,FALSE,TRUE,FALSE,TRUE
06001402400,FALSE,TRUE,FALSE,TRUE
06001402500,FALSE,TRUE,FALSE,TRUE
06001402600,TRUE,TRUE,FALSE,TRUE
06001402700,FALSE,TRUE,FALSE,TRUE
06001402800,FALSE,TRUE,FALSE,TRUE
06001402900,TRUE,TRUE,FALSE,TRUE
06001403000,TRUE,FALSE,FALSE,TRUE
06001403100,TRUE,TRUE,FALSE,TRUE
06001403300,TRUE,TRUE,FALSE,TRUE
06001403400,TRUE,TRUE,FALSE,TRUE
06001403501,FALSE,TRUE,FALSE,TRUE
06001403502,FALSE,TRUE,FALSE,TRUE
06001403600,FALSE,TRUE,FALSE,TRUE
06001403701,FALSE,TRUE,FALSE,TRUE
06001403702,FALSE,TRUE,FALSE,TRUE
06001403800,FALSE,TRUE,FALSE,TRUE
06001403900,FALSE,TRUE,FALSE,TRUE
06001404000,FALSE,TRUE,FALSE,TRUE
06001404101,FALSE,FALSE,FALSE,TRUE
06001404102,FALSE,TRUE,FALSE,TRUE
06001404200,FALSE,TRUE,FALSE,TRUE
06001404300,FALSE,FALSE,FALSE,TRUE
06001404400,FALSE,FALSE,FALSE,TRUE
06001404501,FALSE,FALSE,FALSE,TRUE
06001404502,FALSE,FALSE,FALSE,TRUE
06001404600,FALSE,FALSE,FALSE,TRUE
06001404700,FALSE,FALSE,FALSE,TRUE
06001404800,FALSE,TRUE,FALSE,TRUE
06001404900,FALSE,TRUE,FALSE,TRUE
06001405000,FALSE,TRUE,FALSE,TRUE
06001405100,FALSE,TRUE,FALSE,TRUE
06001405200,TRUE,TRUE,FALSE,TRUE
06001405301,FALSE,TRUE,FALSE,TRUE
06001405302,TRUE,TRUE,FALSE,TRUE
06001405401,TRUE,TRUE,TRUE,TRUE
06001405402,TRUE,TRUE,FALSE,TRUE
06001405500,TRUE,TRUE,FALSE,TRUE
06001405600,TRUE,TRUE,FALSE,TRUE
06001405700,TRUE,TRUE,TRUE,TRUE
06001405800,TRUE,TRUE,FALSE,TRUE
06001405901,TRUE,TRUE,TRUE,TRUE
06001405902,TRUE,TRUE,TRUE,TRUE
06001406000,TRUE,TRUE,FALSE,TRUE
06001406100,FALSE,TRUE,TRUE,TRUE
06001406201,FALSE,TRUE,TRUE,TRUE
06001406202,FALSE,TRUE,TRUE,TRUE
06001406300,TRUE,TRUE,TRUE,FALSE
06001406400,FALSE,TRUE,FALSE,TRUE
06001406500,FALSE,TRUE,TRUE,TRUE
06001406601,FALSE,TRUE,TRUE,TRUE
06001406602,TRUE,TRUE,TRUE,TRUE
06001406700,FALSE,TRUE,FALSE,TRUE
06001406800,FALSE,TRUE,FALSE,TRUE
06001406900,FALSE,TRUE,FALSE,TRUE
06001407000,TRUE,TRUE,TRUE,TRUE
06001407101,FALSE,TRUE,TRUE,TRUE
06001407102,FALSE,TRUE,TRUE,TRUE
06001407200,FALSE,TRUE,TRUE,TRUE
06001407300,FALSE,TRUE,TRUE,TRUE
06001407400,FALSE,TRUE,TRUE,FALSE
06001407500,FALSE,TRUE,TRUE,TRUE
06001407600,FALSE,TRUE,TRUE,TRUE
06001407700,FALSE,TRUE,FALSE,TRUE
06001407800,FALSE,TRUE,FALSE,TRUE
06001407900,FALSE,TRUE,FALSE,TRUE
06001408000,FALSE,TRUE,FALSE,TRUE
06001408100,FALSE,TRUE,FALSE,TRUE
06001408200,FALSE,TRUE,FALSE,TRUE
06001408300,FALSE,TRUE,FALSE,TRUE
06001408400,FALSE,TRUE,TRUE,TRUE
06001408500,FALSE,TRUE,TRUE,TRUE
06001408600,FALSE,TRUE,TRUE,TRUE
06001408700,FALSE,TRUE,TRUE,FALSE
06001408800,FALSE,TRUE,TRUE,TRUE
06001408900,FALSE,TRUE,TRUE,TRUE
06001409000,FALSE,TRUE,TRUE,TRUE
06001409100,FALSE,TRUE,TRUE,TRUE
06001409200,FALSE,TRUE,TRUE,TRUE
06001409300,FALSE,TRUE,TRUE,FALSE
06001409400,FALSE,TRUE,TRUE,FALSE
06001409500,FALSE,TRUE,TRUE,TRUE
06001409600,FALSE,TRUE,TRUE,TRUE
06001409700,FALSE,TRUE,TRUE,FALSE
06001409800,FALSE,TRUE,FALSE,TRUE
06001409900,FALSE,TRUE,FALSE,TRUE
