ZIP,City,Stab,CntyName,Ziptype,Location,Decommissioned
90069,WEST HOLLYWOOD,CA,LOS ANGELES,STANDARD,"West Hollywood, CA",No
90070,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90071,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90072,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90073,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90074,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",No
90075,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90076,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90077,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90078,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90079,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90080,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90081,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90082,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90083,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90084,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",No
90086,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90087,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90088,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",No
90089,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",No
90090,DODGERTOWN,CA,LOS ANGELES,STANDARD,"Dodgertown, CA",No
90091,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90093,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90094,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90095,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",No
90096,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",No
90099,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90101,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90102,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",Yes
90103,LOS ANGELES,CA,LOS ANGELES,UNIQUE,"Los Angeles, CA",No
90189,LOS ANGELES,CA,LOS ANGELES,,"Los Angeles, CA",No
90201,BELL,CA,LOS ANGELES,STANDARD,"Bell, CA",No
90202,BELL GARDENS,CA,LOS ANGELES,STANDARD,"Bell Gardens, CA",No
90209,BEVERLY HILLS,CA,LOS ANGELES,STANDARD,"Beverly Hills, CA",No
90210,BEVERLY HILLS,CA,LOS ANGELES,STANDARD,"Beverly Hills, CA",No
90211,BEVERLY HILLS,CA,LOS ANGELES,STANDARD,"Beverly Hills, CA",No
90212,BEVERLY HILLS,CA,LOS ANGELES,STANDARD,"Beverly Hills, CA",No
90213,BEVERLY HILLS,CA,LOS ANGELES,STANDARD,"Beverly Hills, CA",No
90220,COMPTON,CA,LOS ANGELES,STANDARD,"Compton, CA",No
90221,COMPTON,CA,LOS ANGELES,STANDARD,"Compton, CA",No
90222,COMPTON,CA,LOS ANGELES,STANDARD,"Compton, CA",No
90223,COMPTON,CA,LOS ANGELES,STANDARD,"Compton, CA",No
90224,COMPTON,CA,LOS ANGELES,STANDARD,"Compton, CA",No
90230,CULVER CITY,CA,LOS ANGELES,STANDARD,"Culver City, CA",No
90231,CULVER CITY,CA,LOS ANGELES,STANDARD,"Culver City, CA",No
90232,CULVER CITY,CA,LOS ANGELES,STANDARD,"Culver City, CA",No
90233,CULVER CITY,CA,LOS ANGELES,STANDARD,"Culver City, CA",No
90239,DOWNEY,CA,LOS ANGELES,STANDARD,"Downey, CA",No
90240,DOWNEY,CA,LOS ANGELES,STANDARD,"Downey, CA",No
90241,DOWNEY,CA,LOS ANGELES,STANDARD,"Downey, CA",No
90242,DOWNEY,CA,LOS ANGELES,STANDARD,"Downey, CA",No
90245,EL SEGUNDO,CA,LOS ANGELES,STANDARD,"El Segundo, CA",No
90247,GARDENA,CA,LOS ANGELES,STANDARD,"Gardena, CA",No
90248,GARDENA,CA,LOS ANGELES,STANDARD,"Gardena, CA",No
90249,GARDENA,CA,LOS ANGELES,STANDARD,"Gardena, CA",No
90250,HAWTHORNE,CA,LOS ANGELES,STANDARD,"Hawthorne, CA",No
90251,HAWTHORNE,CA,LOS ANGELES,STANDARD,"Hawthorne, CA",No
90254,HERMOSA BEACH,CA,LOS ANGELES,STANDARD,"Hermosa Beach, CA",No
90255,HUNTINGTON PARK,CA,LOS ANGELES,STANDARD,"Huntington Park, CA",No
90260,LAWNDALE,CA,LOS ANGELES,STANDARD,"Lawndale, CA",No
90261,LAWNDALE,CA,LOS ANGELES,STANDARD,"Lawndale, CA",No
90262,LYNWOOD,CA,LOS ANGELES,STANDARD,"Lynwood, CA",No
90263,MALIBU,CA,LOS ANGELES,STANDARD,"Malibu, CA",No
90264,MALIBU,CA,LOS ANGELES,STANDARD,"Malibu, CA",No
90265,MALIBU,CA,LOS ANGELES,STANDARD,"Malibu, CA",No
90266,MANHATTAN BEACH,CA,LOS ANGELES,STANDARD,"Manhattan Beach, CA",No
90267,MANHATTAN BEACH,CA,LOS ANGELES,STANDARD,"Manhattan Beach, CA",No
90270,MAYWOOD,CA,LOS ANGELES,STANDARD,"Maywood, CA",No
90272,PACIFIC PALISADES,CA,LOS ANGELES,STANDARD,"Pacific Palisades, CA",No
90274,PALOS VERDES PENINSULA,CA,LOS ANGELES,STANDARD,"Palos Verdes Peninsula, CA",No
90275,RANCHO PALOS VERDES,CA,LOS ANGELES,STANDARD,"Rancho Palos Verdes, CA",No
90277,REDONDO BEACH,CA,LOS ANGELES,STANDARD,"Redondo Beach, CA",No
90278,REDONDO BEACH,CA,LOS ANGELES,STANDARD,"Redondo Beach, CA",No
90280,SOUTH GATE,CA,LOS ANGELES,STANDARD,"South Gate, CA",No
90290,TOPANGA,CA,LOS ANGELES,STANDARD,"Topanga, CA",No
90291,VENICE,CA,LOS ANGELES,STANDARD,"Venice, CA",No
90292,MARINA DEL REY,CA,LOS ANGELES,STANDARD,"Marina Del Rey, CA",No
90293,PLAYA DEL REY,CA,LOS ANGELES,STANDARD,"Playa Del Rey, CA",No
90294,VENICE,CA,LOS ANGELES,STANDARD,"Venice, CA",No
90295,MARINA DEL REY,CA,LOS ANGELES,STANDARD,"Marina Del Rey, CA",No
90296,PLAYA DEL REY,CA,LOS ANGELES,STANDARD,"Playa Del Rey, CA",No
90301,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90302,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90303,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90304,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90305,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90306,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90307,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90308,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90309,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90310,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90311,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90312,INGLEWOOD,CA,LOS ANGELES,STANDARD,"Inglewood, CA",No
90313,INGLEWOOD,CA,LOS ANGELES,UNIQUE,"Inglewood, CA",Yes
90397,INGLEWOOD,CA,LOS ANGELES,UNIQUE,"Inglewood, CA",Yes
90398,INGLEWOOD,CA,LOS ANGELES,UNIQUE,"Inglewood, CA",Yes
90401,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90402,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90403,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90404,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90405,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90406,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90407,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90408,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90409,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90410,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90411,SANTA MONICA,CA,LOS ANGELES,STANDARD,"Santa Monica, CA",No
90501,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90502,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90503,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90504,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90505,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90506,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90507,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90508,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90509,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90510,TORRANCE,CA,LOS ANGELES,STANDARD,"Torrance, CA",No
90601,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90602,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90603,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90604,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90605,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90606,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90607,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90608,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90609,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90610,WHITTIER,CA,LOS ANGELES,STANDARD,"Whittier, CA",No
90612,WHITTIER,CA,LOS ANGELES,UNIQUE,"Whittier, CA",Yes
90620,BUENA PARK,CA,ORANGE,STANDARD,"Buena Park, CA",No
90621,BUENA PARK,CA,ORANGE,STANDARD,"Buena Park, CA",No
90622,BUENA PARK,CA,ORANGE,STANDARD,"Buena Park, CA",No
90623,LA PALMA,CA,ORANGE,STANDARD,"La Palma, CA",No
90624,BUENA PARK,CA,ORANGE,STANDARD,"Buena Park, CA",No
90630,CYPRESS,CA,ORANGE,STANDARD,"Cypress, CA",No
90631,LA HABRA,CA,ORANGE,STANDARD,"La Habra, CA",No
90632,LA HABRA,CA,ORANGE,STANDARD,"La Habra, CA",No
90633,LA HABRA,CA,ORANGE,STANDARD,"La Habra, CA",No
90637,LA MIRADA,CA,LOS ANGELES,STANDARD,"La Mirada, CA",No
90638,LA MIRADA,CA,LOS ANGELES,STANDARD,"La Mirada, CA",No
90639,LA MIRADA,CA,LOS ANGELES,UNIQUE,"La Mirada, CA",No
90640,MONTEBELLO,CA,LOS ANGELES,STANDARD,"Montebello, CA",No
90650,NORWALK,CA,LOS ANGELES,STANDARD,"Norwalk, CA",No
90651,NORWALK,CA,LOS ANGELES,STANDARD,"Norwalk, CA",No
90652,NORWALK,CA,LOS ANGELES,STANDARD,"Norwalk, CA",No
90659,NORWALK,CA,LOS ANGELES,UNIQUE,"Norwalk, CA",Yes
90660,PICO RIVERA,CA,LOS ANGELES,STANDARD,"Pico Rivera, CA",No
90661,PICO RIVERA,CA,LOS ANGELES,STANDARD,"Pico Rivera, CA",No
90662,PICO RIVERA,CA,LOS ANGELES,STANDARD,"Pico Rivera, CA",No
90670,SANTA FE SPRINGS,CA,LOS ANGELES,STANDARD,"Santa Fe Springs, CA",No
90671,SANTA FE SPRINGS,CA,LOS ANGELES,STANDARD,"Santa Fe Springs, CA",No
90680,STANTON,CA,ORANGE,STANDARD,"Stanton, CA",No
90701,ARTESIA,CA,LOS ANGELES,STANDARD,"Artesia, CA",No
90702,ARTESIA,CA,LOS ANGELES,STANDARD,"Artesia, CA",No
90703,CERRITOS,CA,LOS ANGELES,STANDARD,"Cerritos, CA",No
90704,AVALON,CA,LOS ANGELES,PO BOX ONLY,"Avalon, CA",No
90706,BELLFLOWER,CA,LOS ANGELES,STANDARD,"Bellflower, CA",No
90707,BELLFLOWER,CA,LOS ANGELES,STANDARD,"Bellflower, CA",No
90710,HARBOR CITY,CA,LOS ANGELES,STANDARD,"Harbor City, CA",No
90711,LAKEWOOD,CA,LOS ANGELES,STANDARD,"Lakewood, CA",No
90712,LAKEWOOD,CA,LOS ANGELES,STANDARD,"Lakewood, CA",No
90713,LAKEWOOD,CA,LOS ANGELES,STANDARD,"Lakewood, CA",No
90714,LAKEWOOD,CA,LOS ANGELES,STANDARD,"Lakewood, CA",No
90715,LAKEWOOD,CA,LOS ANGELES,STANDARD,"Lakewood, CA",No
90716,HAWAIIAN GARDENS,CA,LOS ANGELES,STANDARD,"Hawaiian Gardens, CA",No
90717,LOMITA,CA,LOS ANGELES,STANDARD,"Lomita, CA",No
90720,LOS ALAMITOS,CA,ORANGE,STANDARD,"Los Alamitos, CA",No
90721,LOS ALAMITOS,CA,ORANGE,STANDARD,"Los Alamitos, CA",No
90723,PARAMOUNT,CA,LOS ANGELES,STANDARD,"Paramount, CA",No
90731,SAN PEDRO,CA,LOS ANGELES,STANDARD,"San Pedro, CA",No
90732,SAN PEDRO,CA,LOS ANGELES,STANDARD,"San Pedro, CA",No
90733,SAN PEDRO,CA,LOS ANGELES,STANDARD,"San Pedro, CA",No
90734,SAN PEDRO,CA,LOS ANGELES,STANDARD,"San Pedro, CA",No
90740,SEAL BEACH,CA,ORANGE,STANDARD,"Seal Beach, CA",No
90742,SUNSET BEACH,CA,ORANGE,PO BOX ONLY,"Sunset Beach, CA",No
90743,SURFSIDE,CA,ORANGE,PO BOX ONLY,"Surfside, CA",No
90744,WILMINGTON,CA,LOS ANGELES,STANDARD,"Wilmington, CA",No
90745,CARSON,CA,LOS ANGELES,STANDARD,"Carson, CA",No
90746,CARSON,CA,LOS ANGELES,STANDARD,"Carson, CA",No
90747,CARSON,CA,LOS ANGELES,UNIQUE,"Carson, CA",No
90748,WILMINGTON,CA,LOS ANGELES,STANDARD,"Wilmington, CA",No
90749,CARSON,CA,LOS ANGELES,STANDARD,"Carson, CA",No
90755,SIGNAL HILL,CA,LOS ANGELES,,"Signal Hill, CA",No
90801,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90802,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90803,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90804,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90805,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90806,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90807,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90808,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90809,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90810,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90813,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90814,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90815,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90822,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90831,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90832,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90833,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90834,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90835,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90840,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",No
90842,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",No
90844,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",No
90845,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",Yes
90846,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",No
90847,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",No
90848,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",No
90853,LONG BEACH,CA,LOS ANGELES,STANDARD,"Long Beach, CA",No
90888,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",Yes
90895,CARSON,CA,LOS ANGELES,,"Carson, CA",No
90899,LONG BEACH,CA,LOS ANGELES,UNIQUE,"Long Beach, CA",No
91001,ALTADENA,CA,LOS ANGELES,STANDARD,"Altadena, CA",No
91003,ALTADENA,CA,LOS ANGELES,STANDARD,"Altadena, CA",No
91006,ARCADIA,CA,LOS ANGELES,STANDARD,"Arcadia, CA",No
91007,ARCADIA,CA,LOS ANGELES,STANDARD,"Arcadia, CA",No
91008,DUARTE,CA,,,"Duarte, CA",No
91009,DUARTE,CA,LOS ANGELES,STANDARD,"Duarte, CA",No
91010,DUARTE,CA,LOS ANGELES,STANDARD,"Duarte, CA",No
91011,LA CANADA FLINTRIDGE,CA,LOS ANGELES,STANDARD,"La Canada Flintridge, CA",No
91012,LA CANADA FLINTRIDGE,CA,LOS ANGELES,STANDARD,"La Canada Flintridge, CA",No
91016,MONROVIA,CA,LOS ANGELES,STANDARD,"Monrovia, CA",No
91017,MONROVIA,CA,LOS ANGELES,STANDARD,"Monrovia, CA",No
91020,MONTROSE,CA,LOS ANGELES,STANDARD,"Montrose, CA",No
91021,MONTROSE,CA,LOS ANGELES,STANDARD,"Montrose, CA",No
91023,MOUNT WILSON,CA,LOS ANGELES,STANDARD,"Mount Wilson, CA",No
91024,SIERRA MADRE,CA,LOS ANGELES,STANDARD,"Sierra Madre, CA",No
91025,SIERRA MADRE,CA,LOS ANGELES,STANDARD,"Sierra Madre, CA",No
91030,SOUTH PASADENA,CA,LOS ANGELES,STANDARD,"South Pasadena, CA",No
91031,SOUTH PASADENA,CA,LOS ANGELES,STANDARD,"South Pasadena, CA",No
91040,SUNLAND,CA,LOS ANGELES,STANDARD,"Sunland, CA",No
91041,SUNLAND,CA,LOS ANGELES,STANDARD,"Sunland, CA",No
91042,TUJUNGA,CA,LOS ANGELES,STANDARD,"Tujunga, CA",No
91043,TUJUNGA,CA,LOS ANGELES,STANDARD,"Tujunga, CA",No
91046,VERDUGO CITY,CA,LOS ANGELES,PO BOX ONLY,"Verdugo City, CA",No
91066,ARCADIA,CA,LOS ANGELES,STANDARD,"Arcadia, CA",No
91077,ARCADIA,CA,LOS ANGELES,STANDARD,"Arcadia, CA",No
91101,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91102,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91103,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91104,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91105,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91106,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91107,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91108,SAN MARINO,CA,LOS ANGELES,STANDARD,"San Marino, CA",No
91109,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91110,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91114,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91115,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91116,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91117,PASADENA,CA,LOS ANGELES,STANDARD,"Pasadena, CA",No
91118,SAN MARINO,CA,LOS ANGELES,STANDARD,"San Marino, CA",No
91121,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91123,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91124,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91125,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91126,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91129,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91131,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",Yes
91182,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91184,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91185,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91188,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91189,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",No
91191,PASADENA,CA,LOS ANGELES,UNIQUE,"Pasadena, CA",Yes
91199,PASADENA,CA,LOS ANGELES,,"Pasadena, CA",No
