ZIP,City,Stab,CntyName,Ziptype,Location,Decommissioned
90001,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90002,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90003,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90004,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90005,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90006,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90007,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90008,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90009,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90010,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90011,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90012,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90013,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90014,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90015,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90016,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90017,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90018,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90019,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90020,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90021,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90022,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90023,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90024,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90025,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90026,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90027,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90028,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90029,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90030,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90031,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90032,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90033,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90034,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90035,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90036,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90037,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90038,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90039,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90040,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90041,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90042,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90043,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90044,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90045,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90046,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90047,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90048,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90049,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90050,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90051,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90052,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90053,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90054,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90055,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90056,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90057,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90058,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90059,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90060,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90061,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90062,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90063,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90064,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90065,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90066,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90067,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
90068,LOS ANGELES,CA,LOS ANGELES,STANDARD,"Los Angeles, CA",No
