joinid,centroid_wkt_4326
SONO0001078,POINT(-122.730563667378 38.5116510687919)
SONO0001077,POINT(-122.730563667378 38.5116510687919)
SONO0001076,POINT(-123.015728450165 38.494705027089)
SONO0001075,POINT(-123.015728450165 38.494705027089)
SONO0001074,POINT(-122.817305750246 38.3546831474394)
SONO0001073,POINT(-122.419135781752 38.2590826493805)
SONO0001072,POINT(-122.441785660103 38.296150685152)
SONO0001071,POINT(-122.629496419763 38.3938428297116)
SONO0001070,POINT(-122.728078028908 38.3462684231433)
SONO0001069,POINT(-122.715214867357 38.5374571552944)
SONO0001068,POINT(-122.84964289035 38.4077580787987)
SONO0001067,POINT(-122.881955249752 38.3655087496191)
SONO0001066,POINT(-123.027124052147 38.3226410284977)
SONO0001065,POINT(-122.898649268016 38.7263139145834)
SONO0001064,POINT(-122.842138490514 38.4161861633552)
SONO0001063,POINT(-122.675203265546 38.5813841436504)
SONO0001062,POINT(-122.663093488483 38.296334372436)
SONO0001061,POINT(-122.54871462865 38.4231897629026)
SONO0001060,POINT(-122.803026761367 38.3369080793426)
SONO0001059,POINT(-123.521348235361 38.7558338368355)
SONO0001058,POINT(-122.537430804423 38.2915931136777)
SONO0001057,POINT(-123.061582462096 38.3480765465104)
SONO0001056,POINT(-122.667996753674 38.3267244551861)
SONO0001055,POINT(-123.511443944167 38.7459713021247)
SONO0001054,POINT(-122.893065614151 38.486859379975)
SONO0001053,POINT(-122.4210501022 38.2528043324444)
SONO0001052,POINT(-122.003941929445 37.9670048596519)
SONO0001051,POINT(-122.687495217215 38.377604521653)
SONO0001050,POINT(-122.903523317453 38.484267417958)
SONO0001049,POINT(-122.434333354489 38.3109301262171)
SONO0001048,POINT(-122.99694269104 38.518560159357)
SONO0001047,POINT(-122.898042410051 38.4811980237353)
SONO0001046,POINT(-123.286208643049 38.5430153738288)
SONO0001045,POINT(-122.693641749295 38.3380618990555)
SONO0001044,POINT(-122.485021795733 38.3288045989393)
SONO0001043,POINT(-122.834812432153 38.5837217200914)
SONO0001042,POINT(-122.885254919742 38.645317907523)
SONO0001041,POINT(-123.061196339789 38.6838285365061)
SONO0001040,POINT(-122.89161663062 38.4906880411887)
SONO0001039,POINT(-122.891791005658 38.4906807541169)
SONO0001038,POINT(-122.892142796445 38.4906530641831)
SONO0001037,POINT(-122.88655492815 38.3586290031188)
SONO0001036,POINT(-122.442786420598 38.2972967975512)
SONO0001035,POINT(-122.44446244521 38.2750988307043)
SONO0001034,POINT(-122.492918863752 38.3256226144945)
SONO0001033,POINT(-122.725248033553 38.5456019697046)
