tract,rtaz_1,rtaz_2,rtaz_3,rtaz_4,rtaz_5
010100,41,NA,NA,NA,NA
010200,40,NA,NA,NA,NA
010300,39,NA,NA,NA,NA
010400,38,NA,NA,NA,NA
010500,23,22,NA,NA,NA
010600,37,NA,NA,NA,NA
010700,36,NA,NA,NA,NA
010800,35,NA,NA,NA,NA
010900,34,NA,NA,NA,NA
011000,33,NA,NA,NA,NA
011100,32,NA,NA,NA,NA
011200,28,NA,NA,NA,NA
011300,27,NA,NA,NA,NA
011700,5,2,NA,NA,NA
011800,26,NA,NA,NA,NA
011901,29,NA,NA,NA,NA
011902,29,NA,NA,NA,NA
012000,31,NA,NA,NA,NA
012100,6,NA,NA,NA,NA
012201,30,NA,NA,NA,NA
012202,30,NA,NA,NA,NA
012301,7,NA,NA,NA,NA
012302,7,NA,NA,NA,NA
012401,9,NA,NA,NA,NA
012402,9,NA,NA,NA,NA
012501,8,NA,NA,NA,NA
012502,8,NA,NA,NA,NA
012601,43,NA,NA,NA,NA
012602,43,NA,NA,NA,NA
012700,51,NA,NA,NA,NA
012800,50,NA,NA,NA,NA
012901,44,NA,NA,NA,NA
012902,44,NA,NA,NA,NA
013000,45,NA,NA,NA,NA
013101,46,NA,NA,NA,NA
013102,46,NA,NA,NA,NA
013200,49,NA,NA,NA,NA
013300,71,NA,NA,NA,NA
013400,48,NA,NA,NA,NA
013500,47,NA,NA,NA,NA
015100,75,NA,NA,NA,NA
015200,73,NA,NA,NA,NA
015300,72,NA,NA,NA,NA
015400,70,NA,NA,NA,NA
015500,74,NA,NA,NA,NA
015600,68,NA,NA,NA,NA
015700,69,NA,NA,NA,NA
015801,86,NA,NA,NA,NA
015802,86,NA,NA,NA,NA
015900,77,NA,NA,NA,NA
016000,76,NA,NA,NA,NA
016100,78,NA,NA,NA,NA
016200,79,NA,NA,NA,NA
016300,80,NA,NA,NA,NA
016400,85,NA,NA,NA,NA
016500,87,NA,NA,NA,NA
016600,88,NA,NA,NA,NA
016700,84,NA,NA,NA,NA
016801,81,NA,NA,NA,NA
016802,81,NA,NA,NA,NA
016900,82,NA,NA,NA,NA
017000,83,NA,NA,NA,NA
017101,89,NA,NA,NA,NA
017102,89,NA,NA,NA,NA
017601,10,11,NA,NA,NA
017700,107,NA,NA,NA,NA
017801,21,NA,NA,NA,NA
017802,20,21,NA,NA,NA
018000,18,19,NA,NA,NA
020100,106,NA,NA,NA,NA
020200,105,NA,NA,NA,NA
020300,104,NA,NA,NA,NA
020401,93,NA,NA,NA,NA
020402,93,NA,NA,NA,NA
020500,94,NA,NA,NA,NA
020600,103,NA,NA,NA,NA
020700,102,NA,NA,NA,NA
020800,101,NA,NA,NA,NA
020900,100,NA,NA,NA,NA
021000,99,NA,NA,NA,NA
021100,98,NA,NA,NA,NA
021200,95,NA,NA,NA,NA
021300,96,NA,NA,NA,NA
021400,97,NA,NA,NA,NA
021500,128,NA,NA,NA,NA
021600,129,NA,NA,NA,NA
021700,130,NA,NA,NA,NA
021800,127,NA,NA,NA,NA
022600,111,NA,NA,NA,NA
022702,112,NA,NA,NA,NA
022704,114,NA,NA,NA,NA
022801,116,NA,NA,NA,NA
022802,115,NA,NA,NA,NA
022803,117,NA,NA,NA,NA
022901,118,NA,NA,NA,NA
022902,119,NA,NA,NA,NA
022903,120,NA,NA,NA,NA
023001,139,NA,NA,NA,NA
023003,140,NA,NA,NA,NA
023102,144,NA,NA,NA,NA
023103,145,NA,NA,NA,NA
023200,147,NA,NA,NA,NA
023300,150,NA,NA,NA,NA
023400,148,NA,NA,NA,NA
025100,121,NA,NA,NA,NA
025200,122,NA,NA,NA,NA
025300,123,NA,NA,NA,NA
025401,124,NA,NA,NA,NA
025402,125,NA,NA,NA,NA
025403,126,NA,NA,NA,NA
025500,134,NA,NA,NA,NA
025600,137,NA,NA,NA,NA
025701,138,NA,NA,NA,NA
025702,138,NA,NA,NA,NA
025800,151,NA,NA,NA,NA
025900,152,NA,NA,NA,NA
026001,135,NA,NA,NA,NA
026002,136,NA,NA,NA,NA
026003,160,NA,NA,NA,NA
026004,161,NA,NA,NA,NA
026100,165,NA,NA,NA,NA
026200,164,NA,NA,NA,NA
026301,162,NA,NA,NA,NA
026302,159,NA,NA,NA,NA
026303,163,NA,NA,NA,NA
026401,155,NA,NA,NA,NA
026402,153,NA,NA,NA,NA
026403,154,NA,NA,NA,NA
026404,156,NA,NA,NA,NA
030101,90,NA,NA,NA,NA
030102,91,NA,NA,NA,NA
030201,176,NA,NA,NA,NA
030202,175,NA,NA,NA,NA
030301,174,NA,NA,NA,NA
030302,173,NA,NA,NA,NA
