tract,rtaz_1,rtaz_2,rtaz_3,rtaz_4,rtaz_5
030400,172,NA,NA,NA,NA
030500,92,NA,NA,NA,NA
030600,171,NA,NA,NA,NA
030700,131,NA,NA,NA,NA
030800,170,NA,NA,NA,NA
030900,169,NA,NA,NA,NA
031000,132,NA,NA,NA,NA
031100,133,NA,NA,NA,NA
031201,166,NA,NA,NA,NA
031202,166,NA,NA,NA,NA
031301,168,NA,NA,NA,NA
031302,168,NA,NA,NA,NA
031400,167,NA,NA,NA,NA
032601,177,NA,NA,NA,NA
032602,177,NA,NA,NA,NA
032700,178,NA,NA,NA,NA
032801,185,NA,NA,NA,NA
032802,185,NA,NA,NA,NA
032901,184,NA,NA,NA,NA
032902,184,NA,NA,NA,NA
033000,186,NA,NA,NA,NA
033100,187,NA,NA,NA,NA
033201,188,NA,NA,NA,NA
033203,189,NA,NA,NA,NA
033204,189,NA,NA,NA,NA
035100,179,NA,NA,NA,NA
035201,181,NA,NA,NA,NA
035202,180,NA,NA,NA,NA
035300,183,NA,NA,NA,NA
035400,182,NA,NA,NA,NA
040100,66,NA,NA,NA,NA
040200,65,NA,NA,NA,NA
042601,62,NA,NA,NA,NA
042602,62,NA,NA,NA,NA
042700,58,NA,NA,NA,NA
042800,57,NA,NA,NA,NA
045100,67,NA,NA,NA,NA
045200,64,NA,NA,NA,NA
047600,63,NA,NA,NA,NA
047701,61,NA,NA,NA,NA
047702,60,NA,NA,NA,NA
047801,59,NA,NA,NA,NA
047802,59,NA,NA,NA,NA
047901,54,NA,NA,NA,NA
047902,55,NA,NA,NA,NA
060100,52,NA,NA,NA,NA
060400,190,NA,NA,NA,NA
060502,157,NA,NA,NA,NA
060700,108,109,110,NA,NA
061000,149,NA,NA,NA,NA
061100,25,24,NA,NA,NA
061200,143,141,NA,NA,NA
061400,113,NA,NA,NA,NA
061500,16,17,NA,NA,NA
101100,1404,NA,NA,NA,NA
101200,1405,NA,NA,NA,NA
102100,1413,NA,NA,NA,NA
102202,1412,NA,NA,NA,NA
102203,1412,NA,NA,NA,NA
103100,1414,NA,NA,NA,NA
103200,1411,NA,NA,NA,NA
104101,1409,NA,NA,NA,NA
104102,1410,NA,NA,NA,NA
104200,1408,NA,NA,NA,NA
104300,1406,NA,NA,NA,NA
105000,1407,NA,NA,NA,NA
106001,1424,NA,NA,NA,NA
106002,1425,NA,NA,NA,NA
107000,1423,NA,NA,NA,NA
108100,1422,NA,NA,NA,NA
108200,1421,NA,NA,NA,NA
109001,1431,NA,NA,NA,NA
109002,1431,NA,NA,NA,NA
110100,1427,NA,NA,NA,NA
110200,1426,NA,NA,NA,NA
111000,1430,NA,NA,NA,NA
112100,1429,NA,NA,NA,NA
112201,1428,NA,NA,NA,NA
112202,1428,NA,NA,NA,NA
113000,1418,NA,NA,NA,NA
114100,1434,NA,NA,NA,NA
114200,1419,NA,NA,NA,NA
115000,1420,NA,NA,NA,NA
116000,1433,NA,NA,NA,NA
117000,1432,NA,NA,NA,NA
118100,1435,NA,NA,NA,NA
119100,1436,NA,NA,NA,NA
119201,1437,NA,NA,NA,NA
119202,1437,NA,NA,NA,NA
120000,1440,NA,NA,NA,NA
121100,1441,NA,NA,NA,NA
121200,1438,NA,NA,NA,NA
122000,1439,NA,NA,NA,NA
123000,1447,NA,NA,NA,NA
124100,1445,NA,NA,NA,NA
124200,1446,NA,NA,NA,NA
125000,1444,NA,NA,NA,NA
126100,1442,NA,NA,NA,NA
126200,1443,NA,NA,NA,NA
127000,1452,NA,NA,NA,NA
128100,1450,NA,NA,NA,NA
128200,1451,NA,NA,NA,NA
129000,1449,NA,NA,NA,NA
130201,1448,NA,NA,NA,NA
130202,1448,NA,NA,NA,NA
131100,1417,1453,NA,NA,NA
132100,1454,NA,NA,NA,NA
132200,1416,NA,NA,NA,NA
133000,1415,NA,NA,NA,NA
150100,1324,NA,NA,NA,NA
150202,1320,NA,NA,NA,NA
150203,1323,NA,NA,NA,NA
150204,1323,NA,NA,NA,NA
150303,1322,NA,NA,NA,NA
150304,1321,NA,NA,NA,NA
150305,1319,NA,NA,NA,NA
150306,1319,NA,NA,NA,NA
150500,1318,NA,NA,NA,NA
150601,1333,NA,NA,NA,NA
150602,1334,NA,NA,NA,NA
150603,1335,NA,NA,NA,NA
150607,1336,NA,NA,NA,NA
150609,1336,NA,NA,NA,NA
150610,1336,NA,NA,NA,NA
150611,1325,NA,NA,NA,NA
150612,1325,NA,NA,NA,NA
150701,1332,NA,NA,NA,NA
150702,1326,NA,NA,NA,NA
150800,1327,NA,NA,NA,NA
150901,1331,NA,NA,NA,NA
150902,1330,NA,NA,NA,NA
151000,1329,NA,NA,NA,NA
151100,1328,NA,NA,NA,NA
151201,1337,NA,NA,NA,NA
151203,1339,NA,NA,NA,NA
151204,1338,NA,NA,NA,NA
151301,1343,NA,NA,NA,NA
151305,1344,NA,NA,NA,NA
151306,1345,NA,NA,NA,NA
151307,1347,NA,NA,NA,NA
151308,1346,NA,NA,NA,NA
151309,1341,NA,NA,NA,NA
151310,1342,NA,NA,NA,NA
151311,1340,NA,NA,NA,NA
151401,1349,NA,NA,NA,NA
151402,1348,NA,NA,NA,NA
151502,1350,NA,NA,NA,NA
151503,1352,NA,NA,NA,NA
151504,1351,NA,NA,NA,NA
151601,1353,NA,NA,NA,NA
151602,1353,NA,NA,NA,NA
151700,1358,NA,NA,NA,NA
151800,1359,NA,NA,NA,NA
151900,1360,NA,NA,NA,NA
152000,1361,NA,NA,NA,NA
152100,1363,NA,NA,NA,NA
152201,1364,NA,NA,NA,NA
152202,1356,NA,NA,NA,NA
152203,1362,NA,NA,NA,NA
152300,1365,NA,NA,NA,NA
152400,1366,NA,NA,NA,NA
152501,1357,NA,NA,NA,NA
152502,1355,NA,NA,NA,NA
152600,1354,NA,NA,NA,NA
152701,1367,NA,NA,NA,NA
152702,1368,NA,NA,NA,NA
152801,1369,NA,NA,NA,NA
152802,1373,NA,NA,NA,NA
152903,1372,NA,NA,NA,NA
152904,1371,NA,NA,NA,NA
152905,1370,NA,NA,NA,NA
152906,1370,NA,NA,NA,NA
153001,1374,NA,NA,NA,NA
153002,1376,NA,NA,NA,NA
153003,1377,NA,NA,NA,NA
153005,1382,NA,NA,NA,NA
153006,1375,NA,NA,NA,NA
153102,1379,NA,NA,NA,NA
153103,1378,NA,NA,NA,NA
153104,1378,NA,NA,NA,NA
153200,1380,NA,NA,NA,NA
153300,1381,NA,NA,NA,NA
153401,1384,NA,NA,NA,NA
153403,1386,NA,NA,NA,NA
153404,1385,NA,NA,NA,NA
153501,1387,NA,NA,NA,NA
153502,1388,NA,NA,NA,NA
153600,1383,NA,NA,NA,NA
153703,1390,NA,NA,NA,NA
153704,1391,NA,NA,NA,NA
153705,1393,NA,NA,NA,NA
153706,1392,NA,NA,NA,NA
153801,1394,NA,NA,NA,NA
153804,1396,NA,NA,NA,NA
153806,1396,NA,NA,NA,NA
153807,1396,NA,NA,NA,NA
153808,1395,NA,NA,NA,NA
153809,1395,NA,NA,NA,NA
153901,1397,NA,NA,NA,NA
153902,1399,NA,NA,NA,NA
153903,1398,NA,NA,NA,NA
154000,1400,NA,NA,NA,NA
154100,1401,NA,NA,NA,NA
154201,1402,NA,NA,NA,NA
154202,1402,NA,NA,NA,NA
154302,1389,NA,NA,NA,NA
154303,1403,NA,NA,NA,NA
154304,1403,NA,NA,NA,NA
200201,1301,NA,NA,NA,NA
200202,1299,NA,NA,NA,NA
200203,1300,NA,NA,NA,NA
200301,1295,NA,NA,NA,NA
200302,1295,NA,NA,NA,NA
200400,1296,NA,NA,NA,NA
200501,1305,NA,NA,NA,NA
200503,1298,NA,NA,NA,NA
200504,1297,NA,NA,NA,NA
200505,1297,NA,NA,NA,NA
200601,1306,NA,NA,NA,NA
200602,1306,NA,NA,NA,NA
200703,1303,NA,NA,NA,NA
200704,1304,NA,NA,NA,NA
200705,1304,NA,NA,NA,NA
200706,1307,NA,NA,NA,NA
200707,1307,NA,NA,NA,NA
200802,1293,NA,NA,NA,NA
200803,1302,NA,NA,NA,NA
200804,1302,NA,NA,NA,NA
200900,1294,NA,NA,NA,NA
201003,1291,NA,NA,NA,NA
201004,1291,NA,NA,NA,NA
201005,1292,NA,NA,NA,NA
201006,1292,NA,NA,NA,NA
201007,1292,NA,NA,NA,NA
201101,1308,NA,NA,NA,NA
201102,1308,NA,NA,NA,NA
201200,1309,NA,NA,NA,NA
201300,1310,NA,NA,NA,NA
201401,1311,NA,NA,NA,NA
201402,1311,NA,NA,NA,NA
201403,1311,NA,NA,NA,NA
201500,1315,NA,NA,NA,NA
201601,1314,NA,NA,NA,NA
201602,1314,NA,NA,NA,NA
201700,1313,NA,NA,NA,NA
201800,1312,NA,NA,NA,NA
201900,1316,NA,NA,NA,NA
202000,1317,NA,NA,NA,NA
250103,1230,NA,NA,NA,NA
250104,1230,NA,NA,NA,NA
250105,1246,NA,NA,NA,NA
250106,1246,NA,NA,NA,NA
250200,1229,NA,NA,NA,NA
250300,1231,NA,NA,NA,NA
250400,1227,NA,NA,NA,NA
250501,1228,NA,NA,NA,NA
250502,1219,NA,NA,NA,NA
250601,1221,NA,NA,NA,NA
250604,1220,NA,NA,NA,NA
250605,1220,NA,NA,NA,NA
250701,1223,NA,NA,NA,NA
250801,1238,NA,NA,NA,NA
250900,1224,NA,NA,NA,NA
251000,1225,NA,NA,NA,NA
251100,1226,NA,NA,NA,NA
251200,1232,NA,NA,NA,NA
251300,1233,NA,NA,NA,NA
251400,1242,NA,NA,NA,NA
251500,1234,NA,NA,NA,NA
251600,1235,NA,NA,NA,NA
251701,1236,NA,NA,NA,NA
251702,1237,NA,NA,NA,NA
251802,1241,NA,NA,NA,NA
251803,1240,NA,NA,NA,NA
251804,1239,NA,NA,NA,NA
251901,1243,NA,NA,NA,NA
251902,1244,NA,NA,NA,NA
251903,1245,NA,NA,NA,NA
252000,1212,NA,NA,NA,NA
252102,1211,NA,NA,NA,NA
252103,1218,NA,NA,NA,NA
252104,1217,NA,NA,NA,NA
252105,1216,NA,NA,NA,NA
252106,1215,NA,NA,NA,NA
252107,1214,NA,NA,NA,NA
252108,1213,NA,NA,NA,NA
252201,1248,NA,NA,NA,NA
252202,1247,NA,NA,NA,NA
252305,1249,NA,NA,NA,NA
252306,1267,NA,NA,NA,NA
252310,1268,NA,NA,NA,NA
252311,1268,NA,NA,NA,NA
252312,1268,NA,NA,NA,NA
252313,1269,NA,NA,NA,NA
252314,1269,NA,NA,NA,NA
252315,1270,NA,NA,NA,NA
252316,1270,NA,NA,NA,NA
252317,1270,NA,NA,NA,NA
252401,1266,NA,NA,NA,NA
252402,1250,NA,NA,NA,NA
252501,1263,NA,NA,NA,NA
252502,1262,NA,NA,NA,NA
252604,1265,NA,NA,NA,NA
252605,1264,NA,NA,NA,NA
252606,1259,NA,NA,NA,NA
252607,1260,NA,NA,NA,NA
252608,1258,NA,NA,NA,NA
252610,1257,NA,NA,NA,NA
252611,1257,NA,NA,NA,NA
252702,1251,NA,NA,NA,NA
252703,1261,NA,NA,NA,NA
252704,1255,NA,NA,NA,NA
252705,1254,NA,NA,NA,NA
252706,1253,NA,NA,NA,NA
252707,1256,NA,NA,NA,NA
252801,1252,NA,NA,NA,NA
252802,1252,NA,NA,NA,NA
252903,1286,NA,NA,NA,NA
252904,1279,NA,NA,NA,NA
252908,1276,NA,NA,NA,NA
252909,1278,NA,NA,NA,NA
252910,1277,NA,NA,NA,NA
252911,1280,NA,NA,NA,NA
252912,1280,NA,NA,NA,NA
252913,1271,NA,NA,NA,NA
252914,1271,NA,NA,NA,NA
252915,1271,NA,NA,NA,NA
253000,1272,NA,NA,NA,NA
253101,1284,NA,NA,NA,NA
253105,1281,NA,NA,NA,NA
253106,1275,NA,NA,NA,NA
253107,1274,NA,NA,NA,NA
253108,1273,NA,NA,NA,NA
253201,1285,NA,NA,NA,NA
253203,1283,NA,NA,NA,NA
253204,1282,NA,NA,NA,NA
253205,1282,NA,NA,NA,NA
253206,1282,NA,NA,NA,NA
253300,1287,NA,NA,NA,NA
253402,1289,NA,NA,NA,NA
253403,1288,NA,NA,NA,NA
253404,1288,NA,NA,NA,NA
253500,1290,NA,NA,NA,NA
301000,1181,NA,NA,NA,NA
302005,1182,NA,NA,NA,NA
302006,1182,NA,NA,NA,NA
302007,1180,NA,NA,NA,NA
302008,1180,NA,NA,NA,NA
302009,1185,NA,NA,NA,NA
302010,1185,NA,NA,NA,NA
303102,1179,NA,NA,NA,NA
303103,1179,NA,NA,NA,NA
303201,1178,NA,NA,NA,NA
303202,1178,NA,NA,NA,NA
303203,1178,NA,NA,NA,NA
303204,1178,NA,NA,NA,NA
303205,1178,NA,NA,NA,NA
304001,1177,NA,NA,NA,NA
304002,1177,NA,NA,NA,NA
304003,1177,NA,NA,NA,NA
304004,1177,NA,NA,NA,NA
304005,1177,NA,NA,NA,NA
305000,1189,NA,NA,NA,NA
306002,1183,NA,NA,NA,NA
306003,1188,NA,NA,NA,NA
306004,1188,NA,NA,NA,NA
307101,1194,NA,NA,NA,NA
307102,1191,NA,NA,NA,NA
307201,1197,NA,NA,NA,NA
307202,1190,NA,NA,NA,NA
307204,1192,NA,NA,NA,NA
307205,1193,NA,NA,NA,NA
308001,1187,NA,NA,NA,NA
308002,1184,NA,NA,NA,NA
309000,1205,NA,NA,NA,NA
310000,1206,NA,NA,NA,NA
311000,1203,NA,NA,NA,NA
312000,1204,NA,NA,NA,NA
313101,1199,NA,NA,NA,NA
313102,1198,NA,NA,NA,NA
313103,1196,NA,NA,NA,NA
313203,1200,NA,NA,NA,NA
313204,1200,NA,NA,NA,NA
313205,1201,NA,NA,NA,NA
313206,1202,1201,NA,NA,NA
314102,1207,NA,NA,NA,NA
314103,1209,NA,NA,NA,NA
314104,1208,NA,NA,NA,NA
314200,1210,NA,NA,NA,NA
315000,1097,NA,NA,NA,NA
316000,1092,NA,NA,NA,NA
317000,1093,NA,NA,NA,NA
318000,1091,NA,NA,NA,NA
319000,1094,NA,NA,NA,NA
320001,1095,NA,NA,NA,NA
320003,1096,NA,NA,NA,NA
320004,1096,NA,NA,NA,NA
321101,1124,NA,NA,NA,NA
321102,1126,NA,NA,NA,NA
321103,1125,NA,NA,NA,NA
321200,1123,NA,NA,NA,NA
322000,1127,NA,NA,NA,NA
323000,1128,NA,NA,NA,NA
324001,1121,NA,NA,NA,NA
324002,1121,NA,NA,NA,NA
325000,1129,NA,NA,NA,NA
326000,1130,NA,NA,NA,NA
327000,1122,NA,NA,NA,NA
328000,1113,NA,NA,NA,NA
329000,1112,NA,NA,NA,NA
330000,1111,NA,NA,NA,NA
331000,1110,NA,NA,NA,NA
332000,1109,NA,NA,NA,NA
333101,1099,NA,NA,NA,NA
333102,1099,NA,NA,NA,NA
333200,1108,NA,NA,NA,NA
334001,1107,NA,NA,NA,NA
334004,1106,NA,NA,NA,NA
334006,1104,1105,NA,NA,NA
334200,1147,1162,NA,NA,NA
335000,1116,NA,NA,NA,NA
336101,1115,NA,NA,NA,NA
336102,1114,NA,NA,NA,NA
336201,1120,NA,NA,NA,NA
336202,1120,NA,NA,NA,NA
337100,1117,NA,NA,NA,NA
337200,1118,NA,NA,NA,NA
337300,1138,NA,NA,NA,NA
338101,1119,NA,NA,NA,NA
338102,1119,NA,NA,NA,NA
338201,1137,NA,NA,NA,NA
338203,1135,1136,NA,NA,NA
338204,1135,1136,NA,NA,NA
338301,1140,NA,NA,NA,NA
338302,1141,NA,NA,NA,NA
339001,1146,NA,NA,NA,NA
339002,1145,NA,NA,NA,NA
340001,1134,NA,NA,NA,NA
340002,1133,NA,NA,NA,NA
341000,1149,NA,NA,NA,NA
343001,1144,NA,NA,NA,NA
343002,1143,NA,NA,NA,NA
343003,1142,NA,NA,NA,NA
345101,1172,NA,NA,NA,NA
345102,1173,NA,NA,NA,NA
345103,1174,NA,NA,NA,NA
345105,1169,NA,NA,NA,NA
345108,1168,NA,NA,NA,NA
345111,1175,NA,NA,NA,NA
345112,1175,NA,NA,NA,NA
345113,1167,NA,NA,NA,NA
345114,1167,NA,NA,NA,NA
345115,1171,NA,NA,NA,NA
345116,1171,NA,NA,NA,NA
345202,1170,NA,NA,NA,NA
345203,1161,NA,NA,NA,NA
345204,1161,NA,NA,NA,NA
346101,1163,NA,NA,NA,NA
346102,1164,NA,NA,NA,NA
346201,1165,NA,NA,NA,NA
346203,1166,NA,NA,NA,NA
346204,1166,NA,NA,NA,NA
347000,1131,NA,NA,NA,NA
348000,1132,NA,NA,NA,NA
349000,1150,NA,NA,NA,NA
350000,1152,NA,NA,NA,NA
351101,1148,NA,NA,NA,NA
351102,1148,NA,NA,NA,NA
351103,1148,NA,NA,NA,NA
351200,1151,NA,NA,NA,NA
352101,1159,NA,NA,NA,NA
352102,1160,NA,NA,NA,NA
352201,1158,NA,NA,NA,NA
352202,1157,NA,NA,NA,NA
353001,1156,NA,NA,NA,NA
353002,1153,NA,NA,NA,NA
354001,1155,NA,NA,NA,NA
354002,1154,NA,NA,NA,NA
355107,1195,NA,NA,NA,NA
355108,1195,NA,NA,NA,NA
355109,1186,NA,NA,NA,NA
355110,1186,NA,NA,NA,NA
355111,1186,NA,NA,NA,NA
355112,1176,NA,NA,NA,NA
355113,1176,NA,NA,NA,NA
355114,1176,NA,NA,NA,NA
355115,1176,1175,NA,NA,NA
355116,1176,NA,NA,NA,NA
355117,1176,NA,NA,NA,NA
355200,1098,NA,NA,NA,NA
355301,1103,NA,NA,NA,NA
355302,1139,NA,NA,NA,NA
355304,1100,NA,NA,NA,NA
355306,1102,NA,NA,NA,NA
356001,1088,NA,NA,NA,NA
356002,1087,NA,NA,NA,NA
357000,1090,NA,NA,NA,NA
358000,1089,NA,NA,NA,NA
359102,1082,NA,NA,NA,NA
359103,1083,NA,NA,NA,NA
359104,1083,NA,NA,NA,NA
359105,1083,NA,NA,NA,NA
359202,1084,NA,NA,NA,NA
359203,1086,NA,NA,NA,NA
359204,1085,NA,NA,NA,NA
360101,1079,NA,NA,NA,NA
360102,1079,NA,NA,NA,NA
360200,1078,NA,NA,NA,NA
361000,1077,NA,NA,NA,NA
362000,1076,NA,NA,NA,NA
363000,1074,NA,NA,NA,NA
364002,1080,NA,NA,NA,NA
365002,1068,NA,NA,NA,NA
365003,1069,NA,NA,NA,NA
366001,1070,NA,NA,NA,NA
366002,1071,NA,NA,NA,NA
367100,1073,NA,NA,NA,NA
367200,1072,NA,NA,NA,NA
368001,1067,NA,NA,NA,NA
368002,1067,NA,NA,NA,NA
369001,1066,NA,NA,NA,NA
369002,1075,NA,NA,NA,NA
370000,1054,NA,NA,NA,NA
371000,1055,NA,NA,NA,NA
372000,1065,NA,NA,NA,NA
373000,1064,NA,NA,NA,NA
374000,1056,NA,NA,NA,NA
375000,1057,NA,NA,NA,NA
376000,1063,NA,NA,NA,NA
377000,1061,NA,NA,NA,NA
378000,1062,NA,NA,NA,NA
379000,1060,NA,NA,NA,NA
380000,1059,NA,NA,NA,NA
381000,1058,NA,NA,NA,NA
382000,1050,NA,NA,NA,NA
383000,1049,NA,NA,NA,NA
384000,1053,NA,NA,NA,NA
385100,1045,NA,NA,NA,NA
385200,1052,NA,NA,NA,NA
386000,1051,NA,NA,NA,NA
387000,1047,NA,NA,NA,NA
388000,1048,NA,NA,NA,NA
389100,1041,NA,NA,NA,NA
389200,1040,NA,NA,NA,NA
390100,1046,NA,NA,NA,NA
390200,1042,NA,NA,NA,NA
391000,1043,NA,NA,NA,NA
392000,1044,1087,NA,NA,NA
392200,1069,NA,NA,NA,NA
392300,1083,NA,NA,NA,NA
400100,1005,NA,NA,NA,NA
400200,999,NA,NA,NA,NA
400300,998,NA,NA,NA,NA
400400,1000,NA,NA,NA,NA
400500,1001,NA,NA,NA,NA
400600,997,NA,NA,NA,NA
400700,996,NA,NA,NA,NA
400800,993,NA,NA,NA,NA
400900,992,NA,NA,NA,NA
401000,977,NA,NA,NA,NA
401100,976,NA,NA,NA,NA
401200,975,NA,NA,NA,NA
401300,979,NA,NA,NA,NA
401400,978,NA,NA,NA,NA
401500,990,NA,NA,NA,NA
401600,989,NA,NA,NA,NA
401700,988,NA,NA,NA,NA
401800,987,NA,NA,NA,NA
402200,965,986,NA,NA,NA
402400,983,NA,NA,NA,NA
402500,982,NA,NA,NA,NA
402600,981,NA,NA,NA,NA
402700,980,NA,NA,NA,NA
402800,970,NA,NA,NA,NA
402900,971,NA,NA,NA,NA
403000,968,NA,NA,NA,NA
403100,969,NA,NA,NA,NA
403300,946,NA,NA,NA,NA
403400,945,NA,NA,NA,NA
403501,972,NA,NA,NA,NA
403502,941,972,NA,NA,NA
403600,941,NA,NA,NA,NA
403701,942,NA,NA,NA,NA
403702,945,942,NA,NA,NA
403800,939,NA,NA,NA,NA
403900,940,NA,NA,NA,NA
404000,973,NA,NA,NA,NA
404101,974,NA,NA,NA,NA
404102,974,NA,NA,NA,NA
404200,916,NA,NA,NA,NA
404300,915,NA,NA,NA,NA
404400,914,NA,NA,NA,NA
404501,919,NA,NA,NA,NA
404502,913,NA,NA,NA,NA
404600,912,NA,NA,NA,NA
404700,920,NA,NA,NA,NA
404800,921,NA,NA,NA,NA
404900,922,NA,NA,NA,NA
405000,937,NA,NA,NA,NA
405100,938,NA,NA,NA,NA
405200,943,NA,NA,NA,NA
405301,944,NA,NA,NA,NA
405302,944,934,NA,NA,NA
405401,934,NA,NA,NA,NA
405402,934,NA,NA,NA,NA
405500,935,NA,NA,NA,NA
405600,936,NA,NA,NA,NA
405700,931,NA,NA,NA,NA
405800,932,NA,NA,NA,NA
405901,933,NA,NA,NA,NA
405902,933,NA,NA,NA,NA
406000,947,NA,NA,NA,NA
406100,926,NA,NA,NA,NA
406201,928,NA,NA,NA,NA
406202,927,NA,NA,NA,NA
406300,929,NA,NA,NA,NA
406400,930,NA,NA,NA,NA
406500,924,NA,NA,NA,NA
406601,923,NA,NA,NA,NA
406602,923,NA,NA,NA,NA
406700,910,NA,NA,NA,NA
406800,909,NA,NA,NA,NA
406900,908,NA,NA,NA,NA
407000,906,NA,NA,NA,NA
407101,905,NA,NA,NA,NA
407102,905,NA,NA,NA,NA
407200,925,NA,NA,NA,NA
407300,896,NA,NA,NA,NA
407400,897,NA,NA,NA,NA
407500,898,NA,NA,NA,NA
407600,904,NA,NA,NA,NA
407700,903,NA,NA,NA,NA
407800,902,NA,NA,NA,NA
407900,907,NA,NA,NA,NA
408000,911,NA,NA,NA,NA
408100,885,NA,NA,NA,NA
408200,901,NA,NA,NA,NA
408300,886,NA,NA,NA,NA
408400,889,NA,NA,NA,NA
408500,890,NA,NA,NA,NA
408600,900,NA,NA,NA,NA
408700,899,NA,NA,NA,NA
408800,895,NA,NA,NA,NA
408900,894,NA,NA,NA,NA
409000,874,875,NA,NA,NA
409100,876,NA,NA,NA,NA
409200,877,NA,NA,NA,NA
409300,878,NA,NA,NA,NA
409400,892,NA,NA,NA,NA
409500,893,NA,NA,NA,NA
409600,891,NA,NA,NA,NA
409700,888,NA,NA,NA,NA
409800,887,NA,NA,NA,NA
409900,884,NA,NA,NA,NA
410000,883,NA,NA,NA,NA
